,k,average cover size,S
0,1,3016.419,[107]
1,2,3041.108,"[107, 1912]"
2,3,3032.919,"[107, 1912, 3437]"
3,4,3034.769,"[107, 1912, 3437, 2951]"
4,5,3083.564,"[107, 1912, 3437, 2951, 56]"
5,6,3085.51,"[107, 1912, 3437, 2951, 56, 2839]"
6,7,3081.327,"[107, 1912, 3437, 2951, 56, 2839, 412]"
7,8,3087.087,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429]"
8,9,3218.481,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686]"
9,10,3239.738,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980]"
10,11,3242.846,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654]"
11,12,3242.439,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396]"
12,13,3250.25,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312]"
13,14,3250.17,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457]"
14,15,3250.958,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396]"
15,16,3251.916,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583]"
16,17,3254.254,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865]"
17,18,3259.233,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309]"
18,19,3258.326,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309, 2904]"
19,20,3259.979,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309, 2904, 630]"
20,21,3267.337,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309, 2904, 630, 2861]"
21,22,3271.362,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309, 2904, 630, 2861, 89]"
