,k,average cover size,S
0,1,325.442,[104]
1,2,327.761,"[104, 232]"
2,3,329.118,"[104, 232, 40]"
3,4,327.958,"[104, 232, 40, 298]"
4,5,329.983,"[104, 232, 40, 298, 71]"
5,6,332.529,"[104, 232, 40, 298, 71, 255]"
6,7,333.787,"[104, 232, 40, 298, 71, 255, 236]"
7,8,336.524,"[104, 232, 40, 298, 71, 255, 236, 676]"
8,9,335.635,"[104, 232, 40, 298, 71, 255, 236, 676, 634]"
9,10,335.518,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22]"
10,11,338.509,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23]"
11,12,338.508,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149]"
12,13,338.754,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699]"
13,14,344.941,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563]"
14,15,348.151,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485]"
15,16,350.381,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488]"
16,17,351.775,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51]"
17,18,354.148,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414]"
18,19,355.091,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079]"
19,20,356.957,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307]"
20,21,356.662,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184]"
21,22,358.889,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124]"
22,23,360.358,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080]"
23,24,361.183,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081]"
24,25,362.856,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082]"
25,26,363.624,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532]"
26,27,364.349,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532, 10]"
27,28,363.04,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532, 10, 126]"
28,29,365.862,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532, 10, 126, 347]"
29,30,367.442,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532, 10, 126, 347, 587]"
30,31,370.597,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532, 10, 126, 347, 587, 633]"
31,32,372.494,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532, 10, 126, 347, 587, 633, 164]"
32,33,373.783,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532, 10, 126, 347, 587, 633, 164, 894]"
33,34,376.4,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532, 10, 126, 347, 587, 633, 164, 894, 597]"
34,35,377.301,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532, 10, 126, 347, 587, 633, 164, 894, 597, 690]"
35,36,378.035,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532, 10, 126, 347, 587, 633, 164, 894, 597, 690, 410]"
36,37,379.261,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532, 10, 126, 347, 587, 633, 164, 894, 597, 690, 410, 469]"
37,38,379.644,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532, 10, 126, 347, 587, 633, 164, 894, 597, 690, 410, 469, 30]"
38,39,380.508,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532, 10, 126, 347, 587, 633, 164, 894, 597, 690, 410, 469, 30, 340]"
39,40,383.72,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532, 10, 126, 347, 587, 633, 164, 894, 597, 690, 410, 469, 30, 340, 311]"
40,41,384.446,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532, 10, 126, 347, 587, 633, 164, 894, 597, 690, 410, 469, 30, 340, 311, 774]"
41,42,388.457,"[104, 232, 40, 298, 71, 255, 236, 676, 634, 22, 23, 149, 699, 563, 485, 488, 51, 414, 1079, 307, 184, 124, 1080, 1081, 1082, 532, 10, 126, 347, 587, 633, 164, 894, 597, 690, 410, 469, 30, 340, 311, 774, 431]"
