,k,average cover size,S
0,1,1236.192,[1143]
1,2,1234.476,"[1143, 10677]"
2,3,1232.62,"[1143, 10677, 7155]"
3,4,1235.779,"[1143, 10677, 7155, 5848]"
4,5,1245.708,"[1143, 10677, 7155, 5848, 7324]"
5,6,1243.207,"[1143, 10677, 7155, 5848, 7324, 636]"
6,7,1249.232,"[1143, 10677, 7155, 5848, 7324, 636, 6577]"
7,8,1249.221,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486]"
8,9,1249.789,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273]"
9,10,1254.322,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369]"
10,11,1259.594,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123]"
11,12,1259.852,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990]"
12,13,1263.954,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867]"
13,14,1269.99,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639]"
14,15,1290.897,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531]"
15,16,1289.382,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258]"
16,17,1309.631,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836]"
17,18,1313.974,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162]"
18,19,1334.262,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338]"
19,20,1336.196,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031]"
20,21,1341.806,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467]"
21,22,1348.773,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376]"
22,23,1352.687,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845]"
23,24,1353.862,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906]"
24,25,1354.627,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516]"
25,26,1356.228,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585]"
26,27,1377.79,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705]"
27,28,1373.839,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598]"
28,29,1375.581,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642]"
29,30,1376.696,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642, 4879]"
30,31,1378.359,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642, 4879, 7795]"
