,S,average cover size,k,run time
0,[100],3.8868,1,0.5506722927093506
1,"[100, 27]",6.76,2,0.5506722927093506
2,"[100, 27, 474]",12.7642,3,0.5506722927093506
3,"[100, 27, 474, 14]",14.7461,4,0.5516695976257324
4,"[100, 27, 474, 14, 266]",19.0028,5,0.5516695976257324
5,"[100, 27, 474, 14, 266, 287]",23.0028,6,0.5516695976257324
6,"[100, 27, 474, 14, 266, 287, 482]",24.9927,7,0.5516695976257324
7,"[100, 27, 474, 14, 266, 287, 482, 705]",27.6698,8,0.5516695976257324
8,"[100, 27, 474, 14, 266, 287, 482, 705, 9994]",29.3524,9,0.5516695976257324
9,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363]",31.2076,10,0.5516695976257324
10,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88]",33.2579,11,0.5516695976257324
11,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899]",34.8129,12,0.5516695976257324
12,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899, 10813]",36.0931,13,0.5516695976257324
13,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899, 10813, 10812]",37.4325,14,0.5516695976257324
14,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899, 10813, 10812, 624]",39.5393,15,0.5516695976257324
15,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899, 10813, 10812, 624, 11431]",40.8562,16,0.5516695976257324
16,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899, 10813, 10812, 624, 11431, 11430]",41.7853,17,0.5516695976257324
17,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899, 10813, 10812, 624, 11431, 11430, 11429]",43.0672,18,0.5516695976257324
18,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899, 10813, 10812, 624, 11431, 11430, 11429, 11428]",44.3829,19,0.5516695976257324
19,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899, 10813, 10812, 624, 11431, 11430, 11429, 11428, 11418]",45.281,20,0.5516695976257324
20,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899, 10813, 10812, 624, 11431, 11430, 11429, 11428, 11418, 11417]",46.4939,21,0.5516695976257324
21,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899, 10813, 10812, 624, 11431, 11430, 11429, 11428, 11418, 11417, 11408]",47.6316,22,0.5516695976257324
22,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899, 10813, 10812, 624, 11431, 11430, 11429, 11428, 11418, 11417, 11408, 11407]",48.7651,23,0.5516695976257324
23,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899, 10813, 10812, 624, 11431, 11430, 11429, 11428, 11418, 11417, 11408, 11407, 11404]",49.7469,24,0.5526669025421143
24,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899, 10813, 10812, 624, 11431, 11430, 11429, 11428, 11418, 11417, 11408, 11407, 11404, 11406]",50.7575,25,0.5526669025421143
25,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899, 10813, 10812, 624, 11431, 11430, 11429, 11428, 11418, 11417, 11408, 11407, 11404, 11406, 11405]",51.6237,26,0.5526669025421143
26,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899, 10813, 10812, 624, 11431, 11430, 11429, 11428, 11418, 11417, 11408, 11407, 11404, 11406, 11405, 11416]",52.6029,27,0.5526669025421143
27,"[100, 27, 474, 14, 266, 287, 482, 705, 9994, 363, 88, 8899, 10813, 10812, 624, 11431, 11430, 11429, 11428, 11418, 11417, 11408, 11407, 11404, 11406, 11405, 11416, 11411]",53.6823,28,0.5526669025421143
