,S,average cover size,k
0,[40],283.362,1
1,"[40, 104]",325.612,2
2,"[40, 104, 563]",331.588,3
3,"[40, 104, 563, 433]",333.142,4
4,"[40, 104, 563, 433, 23]",334.228,5
5,"[40, 104, 563, 433, 23, 184]",334.807,6
6,"[40, 104, 563, 433, 23, 184, 504]",335.626,7
7,"[40, 104, 563, 433, 23, 184, 504, 494]",338.876,8
8,"[40, 104, 563, 433, 23, 184, 504, 494, 428]",340.828,9
9,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232]",342.233,10
10,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587]",345.809,11
11,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71]",346.558,12
12,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313]",348.533,13
13,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307]",348.475,14
14,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22]",349.861,15
15,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414]",351.178,16
16,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218]",352.417,17
17,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340]",353.542,18
18,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764]",354.683,19
19,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426]",356.431,20
20,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440]",357.128,21
21,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500]",359.315,22
22,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743]",358.876,23
23,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004]",365.463,24
24,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705]",368.873,25
25,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417]",369.196,26
26,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112]",372.616,27
27,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256]",371.829,28
28,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72]",374.075,29
29,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756]",376.159,30
30,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611]",379.019,31
31,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321]",379.009,32
32,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198]",380.121,33
33,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597]",380.921,34
34,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597, 808]",385.04,35
35,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597, 808, 26]",384.667,36
36,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597, 808, 26, 164]",384.458,37
37,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597, 808, 26, 164, 141]",386.146,38
38,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597, 808, 26, 164, 141, 309]",387.509,39
39,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597, 808, 26, 164, 141, 309, 432]",388.98,40
40,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597, 808, 26, 164, 141, 309, 432, 1058]",389.441,41
41,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597, 808, 26, 164, 141, 309, 432, 1058, 830]",391.143,42
42,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597, 808, 26, 164, 141, 309, 432, 1058, 830, 894]",392.147,43
43,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597, 808, 26, 164, 141, 309, 432, 1058, 830, 894, 236]",394.231,44
44,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597, 808, 26, 164, 141, 309, 432, 1058, 830, 894, 236, 498]",395.446,45
45,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597, 808, 26, 164, 141, 309, 432, 1058, 830, 894, 236, 498, 730]",396.43,46
46,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597, 808, 26, 164, 141, 309, 432, 1058, 830, 894, 236, 498, 730, 346]",397.46,47
47,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597, 808, 26, 164, 141, 309, 432, 1058, 830, 894, 236, 498, 730, 346, 564]",398.832,48
48,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597, 808, 26, 164, 141, 309, 432, 1058, 830, 894, 236, 498, 730, 346, 564, 450]",401.158,49
49,"[40, 104, 563, 433, 23, 184, 504, 494, 428, 232, 587, 71, 313, 307, 22, 414, 218, 340, 764, 426, 440, 500, 743, 1004, 705, 417, 112, 256, 72, 756, 611, 321, 198, 597, 808, 26, 164, 141, 309, 432, 1058, 830, 894, 236, 498, 730, 346, 564, 450, 188]",401.87,50
