,S,average cover size,k,run time
0,"[14212, 14727, 8877, 3092, 1625]",12.577,5,8.6946494
1,"[2368, 14530, 9059, 14224, 12466, 13429, 10934, 11800, 4025, 3935]",23.897,10,6.6825681
2,"[1249, 6210, 9249, 7588, 12069, 4840, 4782, 3824, 1042, 13588, 9559, 13049, 10778, 6781, 2334]",31.763,15,7.7993469
3,"[3075, 12298, 11150, 14996, 1558, 1824, 8993, 1833, 13103, 11184, 4144, 11830, 10309, 9674, 4690, 9685, 4060, 15204, 7530, 2559]",47.129,20,6.0873655
4,"[4738, 13581, 6807, 8216, 7577, 14488, 13724, 9906, 14003, 9399, 9284, 202, 3925, 1877, 8284, 14302, 13927, 5101, 12141, 7408, 2932, 11510, 759, 6137, 8061]",72.336,25,5.9704518
5,"[8576, 2178, 3591, 520, 4234, 3088, 6046, 3490, 2853, 1196, 4405, 5180, 2624, 2628, 14025, 11722, 9296, 5586, 5714, 8018, 10709, 349, 9950, 11230, 352, 4716, 8558, 12785, 380, 8317]",68.09,30,6.9280933
6,"[519, 5137, 13590, 7966, 1184, 1441, 4133, 13222, 13221, 553, 6443, 8237, 11055, 11312, 9521, 6832, 4407, 13113, 2754, 11720, 13897, 330, 13004, 14287, 3408, 13395, 3292, 1504, 7137, 993, 9061, 369, 14711, 9467, 3325]",73.923,35,5.3078333
7,"[641, 3715, 1027, 7944, 3850, 9610, 7310, 9871, 11663, 916, 12822, 14236, 11558, 7082, 8245, 12091, 4415, 319, 5184, 13635, 580, 12881, 12626, 4819, 6872, 6489, 3418, 8794, 220, 7167, 11358, 12261, 14571, 9068, 7150, 2543, 368, 624, 13686, 1535]",104.392,40,5.2338897
8,"[13441, 9871, 1936, 1810, 2580, 7963, 5531, 6812, 539, 2460, 1952, 6184, 8488, 4011, 9519, 2740, 5175, 1464, 14136, 9914, 2234, 2490, 8125, 12479, 13888, 9922, 1219, 6596, 5704, 12489, 8529, 7256, 2521, 15066, 15193, 11354, 222, 1886, 14176, 5473, 11881, 4585, 5994, 12397, 5366]",113.83,45,5.865471
9,"[5368, 9217, 14853, 8, 2569, 13962, 1418, 2702, 9361, 9362, 661, 1945, 9114, 3867, 4633, 7327, 10785, 2595, 8234, 2863, 176, 2864, 10802, 10034, 5686, 11319, 6967, 1849, 13752, 14776, 10940, 4159, 6464, 8257, 11334, 1606, 13391, 10449, 8150, 8791, 4696, 602, 13402, 120, 2142, 15073, 872, 8560, 13942, 8440]",108.296,50,5.5157062
