,S,average cover size,k,run time
0,"[317, 138885, 144880, 151714, 164105]",25.096999999999955,5,55.3887057
1,"[317, 987, 23425, 1443, 91569, 185305, 99191, 96223, 131175, 25392]",81.8509999999998,10,81.5101368
2,"[317, 987, 1046, 17307, 206711, 9034, 67815, 110614, 150402, 32156, 25393, 209689, 170368, 93932, 232520]",89.47699999999966,15,113.63496659999998
3,"[317, 987, 1653, 1414, 111032, 234676, 199305, 111431, 67613, 60589, 54433, 107282, 177635, 90757, 168770, 166331, 107651, 32512, 159933, 48120]",111.40799999999969,20,138.6584671
4,"[317, 987, 1653, 1414, 1570, 34509, 24778, 157271, 203566, 228465, 11221, 30882, 135866, 152719, 103629, 200549, 224421, 2671, 55319, 159783, 35684, 41544, 172021, 51253, 206685]",167.29199999999992,25,169.7651019
5,"[317, 987, 1046, 1653, 1414, 1570, 4273, 41603, 234738, 247321, 226470, 111416, 50924, 156258, 160767, 72986, 185051, 245752, 206032, 14778, 204373, 112182, 12161, 43578, 115500, 209689, 28951, 57461, 244925, 35985]",194.08700000000007,30,198.5772963999999
6,"[317, 987, 1653, 1414, 1570, 2809, 2810, 28800, 143222, 77787, 115551, 66815, 92803, 171479, 149823, 187872, 178586, 215951, 107731, 127689, 205883, 157555, 109279, 36537, 37157, 9034, 253103, 242399, 200859, 81423, 13817, 1216, 135325, 47335, 47434]",224.65100000000007,35,224.31451979999997
7,"[317, 987, 1046, 1047, 1048, 1653, 1414, 1570, 3867, 53402, 43576, 22757, 15985, 232922, 205253, 174157, 225276, 43862, 218834, 247651, 23076, 235236, 87001, 229290, 154288, 77463, 221213, 59852, 46090, 25858, 76151, 64460, 188840, 80809, 11632, 91856, 150933, 53512, 255912, 250524]",257.05800000000005,40,251.1424586999999
8,"[317, 987, 1653, 1414, 1570, 2809, 2810, 12, 24, 7299, 151410, 154296, 161317, 168934, 217269, 189991, 49999, 261789, 36461, 133127, 200392, 123140, 106895, 29284, 43577, 223112, 144400, 71903, 57224, 4822, 153781, 111416, 85108, 193486, 31069, 22438, 197407, 211416, 134967, 28734, 155690, 113184, 183592, 64202, 231016]",264.3500000000005,45,276.4760704999999
9,"[317, 987, 1653, 1414, 1570, 2809, 12, 24, 5, 15, 30883, 191116, 67823, 115303, 45349, 86715, 125155, 148610, 236963, 102920, 25407, 8048, 52100, 229823, 195047, 21190, 170376, 147041, 78329, 19745, 45664, 29170, 138937, 251693, 166836, 141435, 218384, 105612, 160460, 120225, 216242, 191885, 203919, 37463, 49339, 146711, 132904, 160720, 32370, 92018]",358.9539999999998,50,313.0596083999999
