,S,average cover size,k,run time
0,"[72210, 181, 442, 2027, 635]",9851.075999999983,5,143.26621569999998
1,"[72210, 31470, 864, 1851, 2672, 3420, 1225, 764, 742, 1460]",11611.585000000008,10,205.04923960000002
2,"[72210, 31470, 40108, 442, 61, 481, 3374, 665, 635, 355, 2419, 1442, 96, 3668, 1111]",19646.08299999997,15,237.51763649999998
3,"[72210, 31470, 40108, 116246, 880, 2571, 1596, 442, 1899, 481, 3137, 1052, 1460, 356, 2810, 1442, 1111, 1953, 152, 138]",21815.71900000002,20,270.73109399999987
4,"[72210, 31470, 40108, 116246, 20503, 1225, 1851, 635, 426, 1460, 2757, 352, 2407, 1945, 2475, 1111, 136, 4765, 529, 96, 5053, 5151, 750, 9449, 1442]",21676.217000000048,25,296.7889923
5,"[72210, 31470, 40108, 116246, 20503, 4496, 635, 880, 2571, 3420, 481, 1460, 442, 1052, 847, 3578, 269, 2528, 223, 147, 118, 2407, 1111, 1225, 4192, 3237, 1806, 4699, 7427, 4769]",28217.730000000007,30,305.0177211
6,"[72210, 31470, 40108, 116246, 20503, 4496, 30815, 355, 442, 481, 2419, 820, 635, 138, 665, 2329, 6094, 2829, 2786, 2757, 404, 864, 1225, 3886, 2961, 269, 4912, 356, 512, 2491, 930, 5372, 0, 4247, 4453]",27929.79700000002,35,337.12473539999974
7,"[72210, 31470, 40108, 116246, 20503, 4496, 38868, 45479, 537, 414, 269, 181, 1052, 2419, 27, 136, 2407, 4912, 635, 481, 930, 3735, 4781, 7427, 3989, 442, 1964, 2433, 3578, 3992, 2528, 1723, 2133, 1551, 1111, 8741, 1303, 1233, 8569, 1953]",30613.060999999958,40,357.80293740000025
8,"[72210, 31470, 40108, 116246, 20503, 4496, 38868, 45479, 148255, 665, 548, 442, 481, 635, 1460, 930, 3374, 2757, 750, 1390, 864, 9512, 1111, 223, 1442, 4919, 247, 460, 2434, 2133, 4393, 1964, 4425, 4144, 5151, 9449, 4191, 8027, 2060, 4247, 8300, 1235, 10493, 6839, 9477]",29092.54099999997,45,393.4207197999999
9,"[72210, 31470, 40108, 116246, 20503, 4496, 30815, 67024, 70089, 38868, 880, 386, 2571, 481, 1851, 755, 750, 2419, 4799, 4781, 276, 1442, 1244, 149, 1257, 3806, 2407, 2414, 1052, 1964, 96, 6370, 2590, 1723, 2060, 11123, 7427, 359, 635, 1953, 632, 5362, 8568, 6779, 6232, 1886, 1951, 930, 911, 1111]",33282.649999999994,50,422.4523918
