,S,average cover size,k,run time
0,"[645, 8592, 202, 634, 3454]",2271.5150000000012,5,56.6363296
1,"[645, 763, 830, 1409, 22006, 11478, 29893, 67713, 23757, 1465]",2787.827999999997,10,54.11869119999999
2,"[645, 763, 634, 67562, 6000, 43, 4613, 6661, 36256, 38086, 5188, 44505, 4955, 9794, 5975]",3541.509000000004,15,54.10590110000001
3,"[645, 763, 634, 71399, 58147, 3867, 3774, 1627, 14071, 3923, 493, 5952, 1626, 481, 51558, 65942, 426, 12940, 1863, 1740]",4689.301000000003,20,59.13826439999997
4,"[645, 763, 634, 71399, 44, 1813, 5224, 127, 1059, 291, 39808, 3921, 652, 23221, 25889, 3850, 704, 12624, 702, 2651, 2149, 1626, 19333, 6215, 1441]",5754.142999999995,25,59.638619800000015
5,"[645, 763, 634, 71399, 44, 637, 35925, 7412, 5105, 17906, 34, 13265, 6305, 60910, 15945, 326, 22689, 27994, 552, 4314, 33397, 13043, 4716, 3966, 4002, 24137, 5224, 12809, 24832, 3850]",5637.993000000009,30,72.8185714
6,"[645, 763, 634, 71399, 44, 637, 1059, 3952, 10062, 4017, 57887, 2066, 2063, 853, 14607, 357, 14594, 18507, 3132, 10438, 26988, 7338, 3432, 11755, 6508, 1283, 11201, 6594, 4302, 7640, 3972, 6669, 2574, 6774, 123]",6409.049000000004,35,79.55067150000002
7,"[645, 763, 634, 71399, 44, 637, 1059, 145, 7427, 20196, 1225, 4617, 40756, 5144, 3198, 7140, 5720, 51496, 379, 3826, 12654, 40114, 1172, 36014, 19290, 1033, 6003, 35789, 71695, 3523, 15237, 22177, 11330, 7150, 1518, 2328, 22717, 2408, 16053, 18693]",6832.046000000001,40,76.65119949999996
8,"[645, 763, 634, 71399, 44, 637, 1059, 145, 824, 5276, 60258, 8173, 22006, 33013, 8439, 3274, 48043, 7777, 71388, 18880, 1720, 1850, 735, 1189, 1483, 8989, 801, 40, 4919, 1462, 25518, 1518, 18162, 1501, 3152, 11457, 17070, 3921, 3379, 7636, 18053, 2729, 8600, 14478, 7627]",6652.47800000001,45,71.20609519999994
9,"[645, 763, 634, 71399, 44, 637, 2980, 909, 794, 792, 416, 3960, 38220, 20327, 12928, 20765, 7427, 1013, 1702, 38422, 12373, 6514, 17138, 616, 765, 3542, 27127, 11656, 20432, 13, 32424, 1450, 824, 426, 1102, 3899, 66551, 3850, 4397, 5423, 64188, 831, 2584, 3016, 4255, 6659, 6322, 22517, 1807, 4313]",6224.371999999999,50,76.5359072
