,S,average cover size,k,run time
0,"[11404, 3210, 6024, 8891, 2119]",267.86,5,1.5491386
1,"[11404, 9261, 592, 2119, 3524, 6024, 2005, 802, 638, 110]",327.67,10,1.6515247
2,"[11404, 9261, 13245, 8873, 267, 5571, 6024, 329, 8144, 871, 3683, 1241, 1635, 8260, 12448]",411.073,15,2.0951804
3,"[11404, 9261, 13245, 3597, 2119, 1067, 546, 6024, 6791, 14414, 1540, 8891, 638, 8450, 602, 170, 3282, 1587, 3396, 47]",510.211,20,2.7178967
4,"[11404, 9261, 13245, 3597, 326, 6024, 8891, 37, 2119, 592, 1775, 595, 2005, 1241, 13083, 1627, 871, 1764, 3180, 14414, 682, 12464, 9362, 10644, 5651]",689.693,25,3.2956753
5,"[11404, 9261, 13245, 3597, 326, 1162, 9359, 2119, 6024, 6791, 753, 828, 538, 814, 9362, 1241, 6573, 5233, 14414, 1434, 595, 871, 592, 3647, 11262, 12464, 3180, 3789, 3072, 8150]",701.304,30,3.3202021
6,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2119, 8891, 595, 192, 3778, 6024, 2970, 1241, 702, 4883, 1955, 3478, 592, 5081, 1537, 815, 682, 789, 6573, 1639, 875, 12287, 4469, 2801, 241, 5387, 1827, 3612]",758.426,35,3.740862
7,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 200, 6024, 1572, 267, 13694, 66, 14414, 1434, 10182, 605, 8450, 156, 592, 12810, 12426, 682, 3210, 6359, 5233, 426, 5345, 2409, 6297, 2154, 1689, 1038, 2462, 8874, 5799, 2331, 1074, 12446, 424]",830.632,40,4.1666037
8,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 200, 3683, 2119, 512, 4883, 5651, 6024, 47, 6087, 5387, 8450, 39, 702, 1434, 1598, 192, 875, 8379, 6875, 682, 3210, 14768, 6565, 12458, 2462, 3647, 12454, 11456, 12464, 6573, 424, 595, 8260, 7295, 10518, 10644, 11148, 3498]",869.794,45,4.7637215
9,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 200, 3683, 2244, 6024, 7235, 267, 8873, 1049, 2977, 7444, 1241, 14752, 814, 4579, 595, 14414, 661, 4991, 47, 1639, 86, 192, 3282, 1482, 3180, 682, 13083, 6573, 5799, 9994, 80, 569, 2462, 11239, 7295, 10234, 11456, 10182, 8877, 11179, 10518, 605, 518]",936.566,50,5.6198151
