,S,average cover size,k,run time
0,"[12721, 160565, 244030, 5233, 173055]",29.500999999999976,5,63.60139670000001
1,"[234826, 41145, 66102, 15970, 240375, 91236, 159386, 175642, 208018, 123681]",72.11099999999999,10,95.35228239999999
2,"[36461, 99683, 126430, 132947, 155442, 190753, 51139, 120167, 32370, 119745, 28837, 209424, 24872, 74311, 147854]",126.91800000000009,15,130.1049824
3,"[70098, 9826, 12043, 10720, 25358, 226659, 40908, 171544, 185217, 57612, 209627, 232139, 244280, 228281, 46746, 213479, 85711, 174848, 29904, 55026]",173.86299999999983,20,175.33881019999995
4,"[207286, 48223, 89541, 31180, 3783, 226470, 55069, 236486, 118269, 217737, 20796, 228886, 38567, 188189, 181510, 262093, 207550, 235683, 136719, 184791, 45366, 205300, 135536, 131858, 76721]",198.36499999999992,25,230.75300090000002
5,"[215071, 212884, 6293, 35927, 99317, 157953, 175740, 262030, 25911, 95080, 7547, 30803, 46857, 102305, 80734, 141818, 206600, 67339, 85911, 211600, 101560, 150431, 188987, 170956, 149277, 59193, 191213, 252525, 46935, 148231]",225.42800000000003,30,242.12451710000005
6,"[40813, 46533, 234715, 135866, 145609, 250526, 58055, 19713, 199137, 130341, 163481, 27402, 139083, 258373, 115699, 35235, 179773, 14952, 95102, 85722, 85287, 85283, 25175, 202339, 42604, 102337, 189837, 87815, 114141, 156572, 30883, 238348, 233050, 207525, 88901]",274.8830000000004,35,279.077414
7,"[247630, 130154, 154758, 176597, 24896, 42679, 61114, 92803, 152851, 57074, 19515, 245218, 149172, 78933, 191198, 82788, 95568, 26558, 124275, 215391, 164013, 90489, 113138, 53717, 64246, 217986, 53076, 194411, 21190, 121113, 62057, 171458, 58948, 65421, 151663, 9676, 243777, 134155, 176575, 145341]",332.80599999999987,40,334.1236603
8,"[10320, 22097, 217166, 10577, 251144, 240829, 97197, 68775, 123829, 205117, 217088, 32355, 57816, 12050, 62292, 125818, 14610, 53898, 160259, 223922, 201718, 215090, 71400, 112946, 167788, 30697, 24901, 251523, 128855, 26600, 186277, 32370, 220954, 179679, 56063, 30298, 134965, 146713, 158844, 7388, 111926, 23669, 187833, 111359, 234401]",318.26800000000026,45,343.43228610000006
9,"[114485, 31972, 17805, 25692, 33655, 15979, 99158, 178873, 144933, 50761, 12885, 21554, 138414, 173419, 194594, 218789, 213394, 93008, 229982, 72986, 143571, 13687, 139165, 105612, 102989, 31151, 155901, 154610, 178201, 141935, 89204, 199078, 135556, 119337, 250526, 90151, 88581, 66531, 198661, 124729, 24606, 116594, 137005, 185244, 9558, 108140, 199121, 40257, 199572, 204861]",380.5640000000001,50,389.9643777000001
