,S,average cover size,k,run time
0,"[181, 1851, 481, 537, 1964]",10220.961000000001,5,142.4555738
1,"[1596, 1851, 665, 223, 2810, 1460, 481, 2475, 4912, 864]",15818.32300000001,10,192.6894658
2,"[442, 764, 96, 820, 1460, 1225, 3043, 537, 1442, 2786, 188, 6433, 2810, 2757, 269]",20547.482999999982,15,217.78905719999995
3,"[442, 138, 764, 537, 635, 2609, 864, 2419, 2757, 8310, 1558, 269, 930, 1953, 507, 2730, 1964, 4191, 4125, 1723]",23928.02299999997,20,258.26810910000006
4,"[764, 2407, 635, 2419, 138, 676, 997, 481, 1806, 1851, 750, 148, 2701, 442, 3578, 1052, 1551, 188, 1964, 7427, 2009, 4134, 1225, 930, 847]",25194.05400000001,25,286.461771
5,"[442, 1442, 426, 247, 1460, 635, 2475, 2133, 223, 2682, 998, 2757, 338, 930, 601, 269, 4763, 1391, 1551, 2590, 6980, 4691, 1848, 1257, 4125, 915, 4191, 1225, 6909, 2829]",26417.713999999956,30,317.58937030000016
6,"[442, 1899, 2419, 880, 147, 2491, 481, 1834, 1945, 3718, 2786, 5295, 2757, 1442, 354, 359, 2983, 7427, 1258, 154, 3331, 355, 1225, 4111, 4691, 4919, 930, 10601, 8569, 3127, 2589, 1191, 635, 2060, 4708]",29827.586000000032,35,342.43708760000027
7,"[426, 442, 147, 2491, 1460, 269, 136, 1052, 864, 2329, 635, 1835, 701, 665, 820, 1723, 8215, 3400, 4692, 6232, 1442, 96, 2088, 2828, 2983, 1964, 6939, 1257, 4462, 2460, 5151, 3531, 1225, 5103, 702, 930, 632, 0, 4427, 8568]",31570.30099999999,40,387.2170562000001
8,"[764, 548, 2329, 1225, 481, 442, 1460, 2407, 930, 149, 1052, 4247, 833, 635, 2133, 1442, 5152, 178, 96, 1951, 1111, 2590, 269, 2434, 1258, 136, 1637, 1324, 676, 1723, 4134, 3531, 1390, 3090, 1477, 1580, 12302, 1964, 2610, 796, 1339, 8568, 0, 9876, 12385]",33970.11099999995,45,424.9060650000001
9,"[537, 1244, 652, 2419, 442, 833, 2757, 930, 3080, 269, 3966, 4125, 1442, 481, 2961, 4247, 4912, 138, 3886, 3718, 2407, 942, 3578, 404, 2773, 136, 0, 276, 8721, 3806, 353, 2433, 4605, 9726, 2590, 3673, 2746, 1693, 2828, 6232, 152, 3412, 260, 2610, 5593, 1111, 6287, 2060, 1964, 20956]",34338.810000000034,50,424.02504590000035
