,S,average cover size,k,run time
0,"[634, 2969, 6047, 1835, 21997]",2095.8179999999975,5,61.2243406
1,"[242, 10176, 2969, 41, 8791, 4313, 39863, 1539, 656, 735]",1182.103000000001,10,74.107053
2,"[2640, 1033, 6734, 29302, 7469, 71590, 526, 5791, 12658, 2508, 12342, 43348, 4017, 1626, 1184]",1130.4450000000002,15,91.64359049999999
3,"[4582, 23793, 8727, 634, 1478, 19361, 1225, 2704, 11790, 33851, 629, 1283, 1172, 622, 3805, 72831, 7722, 11868, 6477, 64979]",2758.462,20,85.0421351
4,"[6302, 20709, 466, 6087, 14610, 751, 51973, 17269, 18992, 1299, 7392, 13043, 12921, 6666, 3178, 3850, 22955, 989, 61698, 4160, 1720, 954, 23020, 13604, 41091]",1649.8329999999992,25,92.70354129999998
5,"[4400, 5310, 4725, 7427, 51248, 3836, 3527, 629, 770, 23437, 12387, 2704, 22962, 29404, 1165, 883, 5382, 1501, 3049, 1465, 7040, 3873, 12653, 5224, 44126, 21273, 5267, 3886, 970, 36503]",2863.457999999997,30,91.35588280000002
6,"[2257, 1396, 19388, 14778, 1806, 1690, 5227, 9419, 1182, 2066, 853, 26071, 5632, 25928, 6402, 5224, 7315, 6495, 3850, 1830, 1, 1409, 616, 27986, 19930, 11643, 28926, 10156, 10698, 1540, 2241, 1626, 1299, 356, 3527]",3517.6400000000017,35,85.72130220000008
7,"[10804, 11500, 3876, 73421, 9619, 721, 2627, 10065, 5141, 66524, 898, 2708, 19900, 44, 6848, 3774, 26575, 1409, 15192, 6031, 28363, 165, 39399, 5964, 19772, 2254, 1617, 2371, 1167, 5950, 10321, 9938, 12791, 2497, 7427, 2045, 707, 12391, 1501, 195]",2206.667999999999,40,94.94932279999989
8,"[29303, 14339, 21237, 645, 4717, 4929, 18886, 400, 31, 6605, 1526, 73260, 5758, 853, 8287, 2969, 4124, 5702, 6490, 1720, 33178, 724, 6489, 1501, 8183, 42001, 279, 3850, 8727, 3011, 1275, 590, 466, 19219, 70, 17682, 862, 2802, 3514, 4502, 8389, 2241, 69789, 13325, 10106]",4109.147000000007,45,102.03952070000003
9,"[1443, 5514, 16416, 6003, 9330, 291, 629, 27522, 314, 2303, 10629, 1160, 51269, 44, 23424, 2277, 1172, 2729, 746, 12346, 30755, 2969, 2176, 100, 9176, 9412, 1225, 5980, 8615, 459, 1532, 5424, 8802, 7050, 19236, 27074, 3092, 682, 8771, 8749, 7817, 1119, 3780, 25997, 1541, 3483, 17630, 28240, 384, 4984]",4206.1939999999995,50,101.79226340000014
