,S,average cover size,k,run time
0,"[267, 2970, 1434, 6024, 37]",298.737,5,1.2425976
1,"[8260, 103, 267, 1547, 5081, 6024, 788, 3426, 10644, 4883]",319.187,10,1.9520692
2,"[2119, 12464, 8144, 1074, 2500, 424, 103, 6791, 47, 1062, 1241, 546, 6024, 6573, 8849]",459.329,15,2.6196988
3,"[1434, 39, 267, 1449, 6024, 9498, 66, 2314, 8260, 8994, 4698, 592, 11404, 14373, 12446, 3210, 12688, 192, 12464, 6541]",524.697,20,3.2284332
4,"[2119, 1434, 105, 6024, 11894, 6791, 6573, 8620, 236, 1955, 8150, 4314, 602, 192, 1775, 8450, 2154, 1537, 11404, 682, 2941, 4469, 424, 2265, 3405]",656.505,25,3.6482375
5,"[2119, 802, 3210, 6024, 4469, 103, 5388, 47, 523, 1241, 192, 11894, 4062, 5651, 1482, 11405, 4314, 11225, 3632, 682, 649, 236, 2314, 6482, 6573, 602, 11531, 2265, 12446, 12464]",738.875,30,3.9921614
6,"[6024, 8891, 66, 267, 592, 426, 2002, 1162, 1241, 8994, 517, 3656, 1316, 5651, 1635, 13083, 3282, 890, 11456, 8150, 6573, 682, 4446, 1537, 649, 788, 595, 329, 11404, 2462, 12464, 8260, 6297, 4025, 10234]",830.424,35,4.5377572
7,"[2119, 6024, 802, 8873, 66, 4469, 3210, 569, 1241, 592, 3906, 6352, 12464, 14542, 7006, 110, 682, 236, 11404, 494, 2941, 5998, 329, 2846, 6482, 7295, 8260, 5389, 15113, 7663, 1482, 6573, 3789, 2462, 426, 2154, 9362, 5216, 2641, 3983]",873.205,40,5.1795436
8,"[1434, 267, 485, 2970, 31, 6024, 156, 11404, 3210, 7243, 1241, 4579, 47, 3656, 682, 12464, 758, 814, 4469, 5233, 4266, 7006, 10553, 432, 7295, 1652, 1537, 14766, 9359, 7225, 3399, 6681, 2462, 426, 595, 7102, 2154, 7527, 6573, 1078, 1204, 8329, 424, 60, 2022]",929.099,45,5.4026821
9,"[267, 605, 6024, 8891, 1241, 66, 47, 439, 5450, 595, 3656, 15113, 546, 11404, 6791, 474, 3282, 2462, 9108, 1689, 1955, 13720, 2950, 682, 426, 6349, 432, 7295, 14414, 12464, 1482, 3533, 1049, 3130, 602, 12675, 11744, 1093, 6573, 10644, 989, 6482, 4873, 2409, 1754, 1537, 7102, 814, 4696, 424]",1021.75,50,6.0020141
