,S,average cover size,f,run time
0,"[6024, 753, 2119, 1434, 6573, 6791, 8145, 47, 156, 1241, 595, 635, 1689, 12810, 775, 4313, 682, 546, 4457, 11404]",617.3940000000009,0.0,3.066553399999999
1,"[11404, 9261, 775, 2119, 592, 6024, 37, 5388, 1434, 14196, 2265, 6791, 5449, 6482, 192, 1241, 11262, 13083, 12464, 3397]",559.1560000000005,0.1,2.8150074000000007
2,"[11404, 9261, 13245, 3597, 6024, 267, 754, 635, 1434, 4432, 13083, 2005, 12464, 1599, 871, 47, 1241, 105, 3397, 14276]",571.2120000000004,0.2,2.6203085999999995
3,"[11404, 9261, 13245, 3597, 326, 1162, 2941, 4825, 11006, 6024, 754, 267, 653, 6660, 5371, 1241, 5081, 828, 1434, 7588]",474.99499999999955,0.3,2.3800230000000013
4,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 200, 47, 1635, 2119, 6024, 1241, 9634, 1748, 11894, 9105, 1537, 8891, 192]",521.5549999999995,0.4,2.0885344000000003
5,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 196, 267, 474, 4150, 1434, 6024, 753, 8874, 6087, 1241, 6573, 2857, 815]",520.6699999999998,0.5,1.8252574000000017
6,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 200, 3683, 2244, 6681, 1587, 6024, 4426, 432, 944, 2119, 1434, 2941, 47]",475.42200000000093,0.6,1.5482373999999979
7,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 200, 3683, 2244, 6681, 1587, 261, 661, 267, 6024, 1241, 37, 4266, 3866]",464.01799999999986,0.7,1.459298699999998
8,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 196, 267, 105, 1689, 124, 563, 236, 515, 638, 592, 871, 6024, 14751]",493.96799999999973,0.8,1.1142819000000017
9,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 200, 3683, 2244, 6681, 196, 267, 105, 1689, 124, 563, 236, 6024, 2977]",448.0050000000001,0.9,0.8252375000000001
