,S,average cover size,f,run time
0,"[726, 6024, 2119, 538, 2941, 3397, 2250, 12786, 13083, 13451, 12012, 1241, 71, 1434, 592, 105, 6297, 682, 336, 14766]",519.2929999999992,0.0,3.142082199999999
1,"[11404, 9261, 267, 8891, 2501, 6024, 2941, 2970, 6791, 6351, 12464, 1241, 6297, 3210, 789, 3905, 9498, 47, 9208, 1689]",515.681,0.1,2.9372454999999995
2,"[11404, 9261, 13245, 3597, 1434, 2119, 37, 6024, 754, 1472, 4283, 4266, 6791, 11894, 814, 758, 595, 4991, 1241, 192]",597.6900000000003,0.2,2.7569639000000024
3,"[11404, 9261, 13245, 3597, 326, 1162, 267, 4425, 47, 702, 4151, 1782, 6024, 8891, 66, 6482, 6297, 3210, 14414, 682]",565.4240000000005,0.3,2.366326299999997
4,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 200, 267, 6024, 11345, 8873, 753, 3959, 7445, 1657, 6791, 1241, 2970, 871]",505.9740000000001,0.4,2.030258800000002
5,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 196, 267, 474, 546, 1434, 47, 66, 4825, 805, 754, 3405, 1241, 6791]",531.5739999999997,0.5,1.7694755999999998
6,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 200, 3683, 2244, 6681, 1587, 267, 4909, 6024, 11651, 4425, 2970, 1241, 814]",419.75500000000017,0.6,1.5544066
7,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 200, 3683, 2244, 196, 267, 474, 287, 1572, 5651, 6024, 754, 1434, 66]",509.54900000000066,0.7,1.263637899999999
8,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 200, 3683, 2244, 196, 267, 474, 287, 14, 239, 2259, 6024, 754, 8891]",454.4159999999995,0.8,1.0534320999999949
9,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 196, 267, 474, 287, 14, 239, 592, 525, 1175, 512, 80, 3647, 753]",427.73099999999965,0.9,0.8037853000000013
10,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 200, 196, 267, 474, 287, 14, 239, 592, 525, 1175, 512, 80, 105]",411.2619999999995,1.0,0.6257392999999993
