,S,average cover size,k,run time
0,[104],264.569,1,0.18032419999999938
1,"[104, 22]",271.829,2,0.18044820000000072
2,"[104, 22, 41]",274.316,3,0.18056220000000067
3,"[104, 22, 41, 40]",274.423,4,0.18068940000000033
4,"[104, 22, 41, 40, 232]",276.407,5,0.18085139999999988
5,"[104, 22, 41, 40, 232, 75]",277.397,6,0.1809668999999996
6,"[104, 22, 41, 40, 232, 75, 23]",281.218,7,0.18115650000000016
7,"[104, 22, 41, 40, 232, 75, 23, 134]",282.304,8,0.18127089999999946
8,"[104, 22, 41, 40, 232, 75, 23, 134, 354]",284.65,9,0.1816400999999992
9,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51]",286.313,10,0.1822999000000003
10,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577]",291.164,11,0.18241380000000085
11,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71]",291.454,12,0.18266580000000054
12,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395]",291.337,13,0.18283629999999995
13,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377]",293.154,14,0.18303069999999977
14,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139]",293.968,15,0.18403799999999926
15,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139, 355]",295.25,16,0.18436119999999967
16,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139, 355, 340]",296.015,17,0.1845219999999994
17,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139, 355, 340, 563]",303.93,18,0.1846830999999991
18,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139, 355, 340, 563, 428]",305.107,19,0.18532800000000016
19,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139, 355, 340, 563, 428, 119]",306.964,20,0.18563669999999988
20,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139, 355, 340, 563, 428, 119, 105]",308.365,21,0.18598779999999948
21,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139, 355, 340, 563, 428, 119, 105, 184]",309.607,22,0.18632410000000021
22,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139, 355, 340, 563, 428, 119, 105, 184, 218]",309.815,23,0.18646739999999973
23,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139, 355, 340, 563, 428, 119, 105, 184, 218, 453]",311.803,24,0.1866923000000007
24,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139, 355, 340, 563, 428, 119, 105, 184, 218, 453, 467]",314.976,25,0.18690529999999939
25,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139, 355, 340, 563, 428, 119, 105, 184, 218, 453, 467, 0]",314.012,26,0.18777419999999978
26,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139, 355, 340, 563, 428, 119, 105, 184, 218, 453, 467, 0, 68]",315.065,27,0.1879817999999993
27,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139, 355, 340, 563, 428, 119, 105, 184, 218, 453, 467, 0, 68, 503]",316.223,28,0.18821259999999995
28,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139, 355, 340, 563, 428, 119, 105, 184, 218, 453, 467, 0, 68, 503, 236]",317.116,29,0.18839889999999926
29,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139, 355, 340, 563, 428, 119, 105, 184, 218, 453, 467, 0, 68, 503, 236, 551]",318.472,30,0.18892540000000047
30,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 51, 577, 71, 395, 377, 139, 355, 340, 563, 428, 119, 105, 184, 218, 453, 467, 0, 68, 503, 236, 551, 142]",318.101,31,0.1891979999999993
