,k,run time,average cover size,S
0,1,3.4492670000000007,17.63,[26536]
1,2,3.4492977000000007,25.367,"[26536, 4115]"
2,3,3.449326599999999,34.19,"[26536, 4115, 4840]"
3,4,3.4494168,38.487,"[26536, 4115, 4840, 1520]"
4,5,3.4495974,47.108,"[26536, 4115, 4840, 1520, 15347]"
5,6,3.4499723000000007,49.833,"[26536, 4115, 4840, 1520, 15347, 1568]"
6,7,3.450118699999999,77.942,"[26536, 4115, 4840, 1520, 15347, 1568, 3333]"
7,8,3.4503085000000002,86.541,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216]"
8,9,3.451148999999999,91.465,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809]"
9,10,3.4524361999999993,97.361,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567]"
10,11,3.4531732,101.139,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061]"
11,12,3.4557974,107.783,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735]"
12,13,3.4566076999999993,111.142,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651]"
13,14,3.4589455000000005,113.349,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192]"
14,15,3.4599615000000004,119.937,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904]"
15,16,3.4616916,124.983,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162]"
16,17,3.4666835000000003,126.203,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887]"
17,18,3.4675051000000003,130.458,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356]"
18,19,3.4757470999999995,134.101,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030]"
19,20,3.4758235000000006,137.47,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673]"
20,21,3.4766125,138.668,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025]"
21,22,3.4775706,142.012,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683]"
22,23,3.4888767000000005,157.289,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907]"
23,24,3.4890483999999997,164.258,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758]"
24,25,3.504607,167.457,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606]"
25,26,3.5391914999999994,171.01,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566]"
26,27,3.5395272,175.072,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364]"
27,28,3.5414399000000003,175.925,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653]"
28,29,3.5416074,193.044,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653, 17529]"
29,30,3.543467399999999,196.818,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653, 17529, 10713]"
30,31,3.5450362999999996,199.638,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653, 17529, 10713, 2443]"
31,32,3.5623325,201.416,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653, 17529, 10713, 2443, 5378]"
32,33,3.5661427000000003,207.488,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653, 17529, 10713, 2443, 5378, 22778]"
33,34,3.5684936999999994,210.369,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653, 17529, 10713, 2443, 5378, 22778, 15923]"
34,35,3.5805071999999996,213.595,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653, 17529, 10713, 2443, 5378, 22778, 15923, 7050]"
35,36,3.581726099999999,213.407,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653, 17529, 10713, 2443, 5378, 22778, 15923, 7050, 546]"
36,37,3.5842264999999998,217.331,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653, 17529, 10713, 2443, 5378, 22778, 15923, 7050, 546, 2058]"
