,S,average cover size,k,run time
0,[287],5.7052,1,6.7923767999999995
1,"[287, 100]",9.5104,2,6.7924641
2,"[287, 100, 639]",14.5885,3,6.7924978
3,"[287, 100, 639, 124]",17.5907,4,6.7925334
4,"[287, 100, 639, 124, 267]",21.8189,5,6.7925735
5,"[287, 100, 639, 124, 267, 559]",25.0812,6,6.792615999999999
6,"[287, 100, 639, 124, 267, 559, 66]",27.6513,7,6.7926568
7,"[287, 100, 639, 124, 267, 559, 66, 562]",30.0162,8,6.792735199999999
8,"[287, 100, 639, 124, 267, 559, 66, 562, 412]",32.4493,9,6.792905699999999
9,"[287, 100, 639, 124, 267, 559, 66, 562, 412, 608]",36.2976,10,6.792954899999998
10,"[287, 100, 639, 124, 267, 559, 66, 562, 412, 608, 606]",38.9953,11,6.793023899999998
11,"[287, 100, 639, 124, 267, 559, 66, 562, 412, 608, 606, 274]",41.9527,12,6.7931697
12,"[287, 100, 639, 124, 267, 559, 66, 562, 412, 608, 606, 274, 359]",44.7153,13,6.793333399999998
13,"[287, 100, 639, 124, 267, 559, 66, 562, 412, 608, 606, 274, 359, 80]",47.6043,14,6.793431299999998
14,"[287, 100, 639, 124, 267, 559, 66, 562, 412, 608, 606, 274, 359, 80, 41]",49.6929,15,6.793507999999999
15,"[287, 100, 639, 124, 267, 559, 66, 562, 412, 608, 606, 274, 359, 80, 41, 4824]",52.0188,16,6.793706399999998
16,"[287, 100, 639, 124, 267, 559, 66, 562, 412, 608, 606, 274, 359, 80, 41, 4824, 247]",54.7438,17,6.793819799999998
17,"[287, 100, 639, 124, 267, 559, 66, 562, 412, 608, 606, 274, 359, 80, 41, 4824, 247, 3683]",57.5203,18,6.793888499999998
18,"[287, 100, 639, 124, 267, 559, 66, 562, 412, 608, 606, 274, 359, 80, 41, 4824, 247, 3683, 221]",59.8388,19,6.793989
19,"[287, 100, 639, 124, 267, 559, 66, 562, 412, 608, 606, 274, 359, 80, 41, 4824, 247, 3683, 221, 131]",65.9811,20,6.794179699999997
20,"[287, 100, 639, 124, 267, 559, 66, 562, 412, 608, 606, 274, 359, 80, 41, 4824, 247, 3683, 221, 131, 8]",68.7753,21,6.794257899999998
21,"[287, 100, 639, 124, 267, 559, 66, 562, 412, 608, 606, 274, 359, 80, 41, 4824, 247, 3683, 221, 131, 8, 196]",71.2267,22,6.794392199999997
22,"[287, 100, 639, 124, 267, 559, 66, 562, 412, 608, 606, 274, 359, 80, 41, 4824, 247, 3683, 221, 131, 8, 196, 239]",73.5194,23,6.794636799999999
