,S,average cover size,k,run time
0,[131],8.2518,1,6.284201099999999
1,"[131, 639]",13.1791,2,6.284269
2,"[131, 639, 287]",18.6396,3,6.284344299999999
3,"[131, 639, 287, 608]",21.992,4,6.2844163
4,"[131, 639, 287, 608, 267]",25.8909,5,6.2845295
5,"[131, 639, 287, 608, 267, 100]",29.5459,6,6.284648599999999
6,"[131, 639, 287, 608, 267, 100, 559]",32.6811,7,6.284758
7,"[131, 639, 287, 608, 267, 100, 559, 76]",35.3891,8,6.284788799999999
8,"[131, 639, 287, 608, 267, 100, 559, 76, 359]",38.4182,9,6.2848728000000005
9,"[131, 639, 287, 608, 267, 100, 559, 76, 359, 646]",41.2772,10,6.2849573
10,"[131, 639, 287, 608, 267, 100, 559, 76, 359, 646, 512]",43.5673,11,6.285056299999999
11,"[131, 639, 287, 608, 267, 100, 559, 76, 359, 646, 512, 236]",46.3822,12,6.285092199999999
12,"[131, 639, 287, 608, 267, 100, 559, 76, 359, 646, 512, 236, 535]",49.0991,13,6.285143
13,"[131, 639, 287, 608, 267, 100, 559, 76, 359, 646, 512, 236, 535, 80]",51.8012,14,6.285180199999999
14,"[131, 639, 287, 608, 267, 100, 559, 76, 359, 646, 512, 236, 535, 80, 1775]",53.6242,15,6.285234599999999
15,"[131, 639, 287, 608, 267, 100, 559, 76, 359, 646, 512, 236, 535, 80, 1775, 562]",56.7758,16,6.2852771
16,"[131, 639, 287, 608, 267, 100, 559, 76, 359, 646, 512, 236, 535, 80, 1775, 562, 77]",57.8846,17,6.2853306
17,"[131, 639, 287, 608, 267, 100, 559, 76, 359, 646, 512, 236, 535, 80, 1775, 562, 77, 145]",60.1417,18,6.2853858
18,"[131, 639, 287, 608, 267, 100, 559, 76, 359, 646, 512, 236, 535, 80, 1775, 562, 77, 145, 3683]",62.5163,19,6.285506699999999
19,"[131, 639, 287, 608, 267, 100, 559, 76, 359, 646, 512, 236, 535, 80, 1775, 562, 77, 145, 3683, 247]",65.0623,20,6.2855674
