,S,average cover size,k,run time
0,[9994],45.269,1,0.7674160000000008
1,"[9994, 100]",2041.131,2,0.7674491000000003
2,"[9994, 100, 474]",2034.265,3,0.7674824999999998
3,"[9994, 100, 474, 287]",2035.392,4,0.7676113000000004
4,"[9994, 100, 474, 287, 239]",2039.599,5,0.7676479999999994
5,"[9994, 100, 474, 287, 239, 196]",2040.394,6,0.7679665999999994
6,"[9994, 100, 474, 287, 239, 196, 80]",2036.209,7,0.7694089000000002
7,"[9994, 100, 474, 287, 239, 196, 80, 606]",2043.498,8,0.7694489000000004
8,"[9994, 100, 474, 287, 239, 196, 80, 606, 639]",2036.129,9,0.7694872999999998
9,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124]",2038.602,10,0.7695448999999996
10,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221]",2040.541,11,0.7697617000000001
11,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634]",2042.393,12,0.7701069
12,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162]",2043.885,13,0.7701563999999994
13,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525]",2034.038,14,0.7702044000000008
14,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599]",2040.536,15,0.7704009000000003
15,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15]",2042.818,16,0.7706032999999994
16,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1]",2041.088,17,0.7707929
17,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66]",2042.802,18,0.7708505999999993
18,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382]",2038.485,19,0.7710854000000005
19,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292]",2039.251,20,0.7711480000000002
20,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128]",2038.644,21,0.7712108000000004
21,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159]",2040.225,22,0.7713748999999996
22,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138]",2075.667,23,0.7714443000000006
23,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251]",2072.005,24,0.7716141000000007
24,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210]",2071.667,25,0.7717025999999994
25,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563]",2072.826,26,0.7718129999999999
26,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457]",2072.928,27,0.7720453000000003
27,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 359]",2074.92,28,0.7724335999999994
28,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 359, 4824]",2071.838,29,0.7725387000000001
29,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 359, 4824, 1256]",2075.822,30,0.7732314000000002
30,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 359, 4824, 1256, 9284]",2096.065,31,0.7733343999999995
31,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 359, 4824, 1256, 9284, 608]",2098.23,32,0.7763370999999992
32,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 359, 4824, 1256, 9284, 608, 192]",2095.875,33,0.7765836000000004
33,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 359, 4824, 1256, 9284, 608, 192, 156]",2096.472,34,0.7767145000000006
34,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 359, 4824, 1256, 9284, 608, 192, 156, 236]",2097.094,35,0.7769612000000006
35,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 359, 4824, 1256, 9284, 608, 192, 156, 236, 1765]",2097.405,36,0.7772617999999998
36,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 359, 4824, 1256, 9284, 608, 192, 156, 236, 1765, 709]",2098.026,37,0.7778314000000002
37,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 359, 4824, 1256, 9284, 608, 192, 156, 236, 1765, 709, 535]",2095.093,38,0.7779758000000001
38,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 359, 4824, 1256, 9284, 608, 192, 156, 236, 1765, 709, 535, 512]",2099.501,39,0.7781211999999993
39,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 359, 4824, 1256, 9284, 608, 192, 156, 236, 1765, 709, 535, 512, 247]",2097.802,40,0.7782674000000007
