,k,run time,average cover size,S
0,1,0.07975960000000004,3.314,[104]
1,2,0.07981520000000009,5.8585,"[104, 22]"
2,3,0.07986689999999985,8.3076,"[104, 22, 41]"
3,4,0.07992450000000018,10.7918,"[104, 22, 41, 40]"
4,5,0.07999620000000007,13.0728,"[104, 22, 41, 40, 232]"
5,6,0.08004459999999991,15.2189,"[104, 22, 41, 40, 232, 75]"
6,7,0.08012450000000015,17.3659,"[104, 22, 41, 40, 232, 75, 23]"
7,8,0.08017360000000018,19.2492,"[104, 22, 41, 40, 232, 75, 23, 134]"
8,9,0.08032949999999994,21.2563,"[104, 22, 41, 40, 232, 75, 23, 134, 354]"
9,10,0.08053290000000013,22.9719,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133]"
10,11,0.08063300000000018,24.9052,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51]"
11,12,0.08068289999999978,26.8345,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577]"
12,13,0.08079299999999989,28.8953,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71]"
13,14,0.08086290000000007,30.6633,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395]"
14,15,0.08094679999999999,32.3645,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377]"
15,16,0.08137999999999979,34.0684,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139]"
16,17,0.08151459999999977,35.7139,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139, 355]"
17,18,0.08157999999999976,37.3488,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139, 355, 340]"
18,19,0.08164570000000015,39.1562,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139, 355, 340, 563]"
19,20,0.08185209999999987,41.1934,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139, 355, 340, 563, 136]"
20,21,0.08190399999999975,42.7694,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139, 355, 340, 563, 136, 428]"
21,22,0.08203169999999993,44.4561,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139, 355, 340, 563, 136, 428, 119]"
22,23,0.08211309999999994,46.0526,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139, 355, 340, 563, 136, 428, 119, 44]"
23,24,0.08219159999999981,47.6427,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139, 355, 340, 563, 136, 428, 119, 44, 105]"
24,25,0.08233010000000007,49.3457,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184]"
25,26,0.08240690000000006,51.0895,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184, 218]"
26,27,0.08251909999999985,52.5755,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184, 218, 453]"
27,28,0.08261329999999978,53.9974,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184, 218, 453, 467]"
28,29,0.08269100000000007,55.8059,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184, 218, 453, 467, 0]"
29,30,0.08286989999999994,57.3429,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184, 218, 453, 467, 0, 503]"
30,31,0.08294790000000019,59.0453,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184, 218, 453, 467, 0, 503, 236]"
31,32,0.0831719999999998,60.3158,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 395, 377, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184, 218, 453, 467, 0, 503, 236, 551]"
