,S,average cover size,k,run time
0,[25609],35.7484,1,194.4148765
1,"[25609, 17544]",74.9414,2,194.4152474
2,"[25609, 17544, 11907]",83.5735,3,194.4154921
3,"[25609, 17544, 11907, 12650]",94.1775,4,194.41587049999998
4,"[25609, 17544, 11907, 12650, 5551]",107.7321,5,194.4165747
5,"[25609, 17544, 11907, 12650, 5551, 5567]",125.1628,6,194.4173849
6,"[25609, 17544, 11907, 12650, 5551, 5567, 23571]",127.1458,7,194.4261924
7,"[25609, 17544, 11907, 12650, 5551, 5567, 23571, 7387]",144.374,8,194.4264976
8,"[25609, 17544, 11907, 12650, 5551, 5567, 23571, 7387, 15758]",152.3676,9,194.42939330000002
9,"[25609, 17544, 11907, 12650, 5551, 5567, 23571, 7387, 15758, 3460]",155.0224,10,194.4295722
10,"[25609, 17544, 11907, 12650, 5551, 5567, 23571, 7387, 15758, 3460, 8970]",157.3912,11,194.43192720000002
11,"[25609, 17544, 11907, 12650, 5551, 5567, 23571, 7387, 15758, 3460, 8970, 12081]",162.5992,12,194.43626089999998
12,"[25609, 17544, 11907, 12650, 5551, 5567, 23571, 7387, 15758, 3460, 8970, 12081, 5192]",170.9163,13,194.4413765
13,"[25609, 17544, 11907, 12650, 5551, 5567, 23571, 7387, 15758, 3460, 8970, 12081, 5192, 11454]",171.0155,14,194.44160290000002
14,"[25609, 17544, 11907, 12650, 5551, 5567, 23571, 7387, 15758, 3460, 8970, 12081, 5192, 11454, 6342]",177.3091,15,194.44456659999997
15,"[25609, 17544, 11907, 12650, 5551, 5567, 23571, 7387, 15758, 3460, 8970, 12081, 5192, 11454, 6342, 7132]",180.7612,16,194.44597900000002
16,"[25609, 17544, 11907, 12650, 5551, 5567, 23571, 7387, 15758, 3460, 8970, 12081, 5192, 11454, 6342, 7132, 5120]",183.7182,17,194.4462342
17,"[25609, 17544, 11907, 12650, 5551, 5567, 23571, 7387, 15758, 3460, 8970, 12081, 5192, 11454, 6342, 7132, 5120, 988]",187.4603,18,194.4477394
18,"[25609, 17544, 11907, 12650, 5551, 5567, 23571, 7387, 15758, 3460, 8970, 12081, 5192, 11454, 6342, 7132, 5120, 988, 2356]",197.9968,19,194.4484006
19,"[25609, 17544, 11907, 12650, 5551, 5567, 23571, 7387, 15758, 3460, 8970, 12081, 5192, 11454, 6342, 7132, 5120, 988, 2356, 809]",206.0706,20,194.4495043
20,"[25609, 17544, 11907, 12650, 5551, 5567, 23571, 7387, 15758, 3460, 8970, 12081, 5192, 11454, 6342, 7132, 5120, 988, 2356, 809, 1866]",210.2058,21,194.45014989999999
21,"[25609, 17544, 11907, 12650, 5551, 5567, 23571, 7387, 15758, 3460, 8970, 12081, 5192, 11454, 6342, 7132, 5120, 988, 2356, 809, 1866, 19202]",247.0477,22,194.4512165
22,"[25609, 17544, 11907, 12650, 5551, 5567, 23571, 7387, 15758, 3460, 8970, 12081, 5192, 11454, 6342, 7132, 5120, 988, 2356, 809, 1866, 19202, 15347]",290.5309,23,194.4532196
