,k,run time,average cover size,S
0,1,0.46482440000000036,5.296,[9994]
1,2,0.4648423000000004,141.396,"[9994, 100]"
2,3,0.4648616000000003,207.564,"[9994, 100, 474]"
3,4,0.46493430000000036,225.609,"[9994, 100, 474, 287]"
4,5,0.4649517000000003,238.487,"[9994, 100, 474, 287, 239]"
5,6,0.4650846000000004,244.016,"[9994, 100, 474, 287, 239, 196]"
6,7,0.46576200000000023,254.473,"[9994, 100, 474, 287, 239, 196, 80]"
7,8,0.4657854000000001,259.056,"[9994, 100, 474, 287, 239, 196, 80, 606]"
8,9,0.4658081000000003,277.104,"[9994, 100, 474, 287, 239, 196, 80, 606, 639]"
9,10,0.4659133,280.368,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221]"
10,11,0.46609440000000024,289.438,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634]"
11,12,0.4661202000000002,298.524,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162]"
12,13,0.466148,303.894,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525]"
13,14,0.46618950000000003,303.697,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267]"
14,15,0.4662656000000003,312.632,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599]"
15,16,0.46638550000000034,316.763,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15]"
16,17,0.46646880000000035,319.796,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1]"
17,18,0.4665005,326.658,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66]"
18,19,0.4666348,327.756,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382]"
19,20,0.46667060000000005,341.026,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292]"
20,21,0.46671580000000024,347.832,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128]"
21,22,0.46681450000000035,349.763,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159]"
22,23,0.4668542000000002,351.053,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138]"
23,24,0.4669533000000001,353.085,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251]"
24,25,0.4669928000000003,357.596,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210]"
25,26,0.4670356,363.511,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563]"
26,27,0.46714310000000037,369.662,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457]"
27,28,0.4672168000000001,370.007,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246]"
28,29,0.46732260000000014,375.382,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359]"
29,30,0.4673742000000001,380.433,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824]"
30,31,0.46770400000000034,381.937,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256]"
31,32,0.46775140000000004,384.974,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284]"
32,33,0.4690384000000001,388.106,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608]"
33,34,0.4690977000000003,394.988,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562]"
34,35,0.4691478,400.009,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192]"
35,36,0.4692056,403.645,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156]"
36,37,0.4693278000000003,409.004,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236]"
37,38,0.46948480000000004,410.779,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765]"
38,39,0.4698368000000004,414.883,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535]"
39,40,0.4699057,420.121,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512]"
40,41,0.4700451000000001,419.655,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661]"
41,42,0.4701896000000003,423.944,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60]"
42,43,0.4702550000000003,430.847,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140]"
43,44,0.4706222000000002,431.897,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 1689]"
44,45,0.47106800000000026,438.354,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 1689, 111]"
45,46,0.47127890000000017,440.86,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 1689, 111, 13265]"
46,47,0.47266240000000037,441.073,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 1689, 111, 13265, 133]"
47,48,0.47289090000000034,445.153,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 1689, 111, 13265, 133, 3147]"
48,49,0.47304020000000024,444.601,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 1689, 111, 13265, 133, 3147, 19]"
49,50,0.47319980000000017,448.933,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 221, 634, 1162, 525, 267, 599, 15, 1, 66, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 1689, 111, 13265, 133, 3147, 19, 6675]"
