,k,run time,average cover size,S
0,1,0.6833216000000002,5.327,[9994]
1,2,0.6833413000000004,145.526,"[9994, 100]"
2,3,0.6833613000000005,212.586,"[9994, 100, 474]"
3,4,0.6834365,231.156,"[9994, 100, 474, 287]"
4,5,0.6834545000000007,235.597,"[9994, 100, 474, 287, 239]"
5,6,0.6835890000000004,246.12,"[9994, 100, 474, 287, 239, 196]"
6,7,0.6842988000000005,249.159,"[9994, 100, 474, 287, 239, 196, 80]"
7,8,0.6843236000000008,257.876,"[9994, 100, 474, 287, 239, 196, 80, 606]"
8,9,0.6843477,277.026,"[9994, 100, 474, 287, 239, 196, 80, 606, 639]"
9,10,0.6843825000000008,286.708,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124]"
10,11,0.6844575000000006,293.79,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221]"
11,12,0.6846478000000005,301.524,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634]"
12,13,0.6846758,309.589,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162]"
13,14,0.6847048000000004,312.518,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525]"
14,15,0.6847481000000002,317.13,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267]"
15,16,0.6848275000000008,323.46,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599]"
16,17,0.6849544000000005,327.918,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15]"
17,18,0.6850739000000008,331.677,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66]"
18,19,0.6851580000000004,340.473,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274]"
19,20,0.6852023000000003,343.589,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382]"
20,21,0.6852399,352.011,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292]"
21,22,0.6852873000000006,354.463,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128]"
22,23,0.6853909000000007,355.981,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159]"
23,24,0.6854331,359.801,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138]"
24,25,0.6855366000000007,362.504,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251]"
25,26,0.6855786000000004,366.256,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210]"
26,27,0.6856323,370.42,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563]"
27,28,0.6857454000000001,375.674,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457]"
28,29,0.6858251000000006,376.708,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246]"
29,30,0.6859612000000004,380.482,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359]"
30,31,0.6860145000000006,385.49,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824]"
31,32,0.6863531000000007,390.499,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256]"
32,33,0.6864034999999999,394.723,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284]"
33,34,0.6877593000000006,395.652,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608]"
34,35,0.6878263000000002,397.754,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562]"
35,36,0.6878823000000001,405.721,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192]"
36,37,0.6879615000000001,408.301,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156]"
37,38,0.6880987000000003,412.89,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236]"
38,39,0.6882509000000008,417.785,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765]"
39,40,0.6886192000000007,420.674,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535]"
40,41,0.6886921000000008,424.509,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512]"
41,42,0.6888375,424.875,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661]"
42,43,0.6889872000000006,429.356,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60]"
43,44,0.6890559000000005,433.19,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140]"
44,45,0.6894350000000005,436.429,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 1689]"
45,46,0.6899157000000002,442.432,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 1689, 111]"
46,47,0.6901444000000003,443.035,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 1689, 111, 13265]"
47,48,0.6915891000000007,444.039,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 1689, 111, 13265, 133]"
48,49,0.6918269000000006,446.379,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 1689, 111, 13265, 133, 3147]"
49,50,0.6921762000000005,449.254,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 1162, 525, 267, 599, 15, 66, 274, 382, 1292, 128, 159, 3138, 251, 210, 563, 457, 246, 359, 4824, 1256, 9284, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 1689, 111, 13265, 133, 3147, 6675]"
