,k,run time,average cover size,S
0,1,34.7679699,3554.519,[38868]
1,2,34.76813009999999,3599.986,"[38868, 72210]"
2,3,34.768634399999996,3675.207,"[38868, 72210, 6737]"
3,4,34.77063819999999,3716.159,"[38868, 72210, 6737, 63861]"
4,5,34.771450900000005,3737.962,"[38868, 72210, 6737, 63861, 13884]"
5,6,34.7718708,3748.306,"[38868, 72210, 6737, 63861, 13884, 96321]"
6,7,34.7719556,3769.897,"[38868, 72210, 6737, 63861, 13884, 96321, 13451]"
7,8,34.7732501,3804.031,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427]"
8,9,34.7734691,3855.09,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759]"
9,10,34.7759726,3876.708,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618]"
10,11,34.7772324,3904.229,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267]"
11,12,34.786198,3909.84,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267, 33126]"
12,13,34.786336199999994,3995.095,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267, 33126, 109015]"
13,14,34.78837300000001,4021.849,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267, 33126, 109015, 69476]"
14,15,34.792114100000006,4012.752,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267, 33126, 109015, 69476, 180399]"
15,16,34.793036,4057.309,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267, 33126, 109015, 69476, 180399, 24074]"
16,17,34.7931995,4073.77,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267, 33126, 109015, 69476, 180399, 24074, 65720]"
17,18,34.7933637,4100.472,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267, 33126, 109015, 69476, 180399, 24074, 65720, 11711]"
18,19,34.79354120000001,4097.58,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267, 33126, 109015, 69476, 180399, 24074, 65720, 11711, 37335]"
19,20,34.8059447,4121.069,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267, 33126, 109015, 69476, 180399, 24074, 65720, 11711, 37335, 5470]"
20,21,34.806386599999996,4154.672,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267, 33126, 109015, 69476, 180399, 24074, 65720, 11711, 37335, 5470, 13830]"
21,22,34.806586800000005,4168.813,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267, 33126, 109015, 69476, 180399, 24074, 65720, 11711, 37335, 5470, 13830, 100741]"
22,23,34.8070388,4207.572,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267, 33126, 109015, 69476, 180399, 24074, 65720, 11711, 37335, 5470, 13830, 100741, 8889]"
23,24,34.8084561,4208.875,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267, 33126, 109015, 69476, 180399, 24074, 65720, 11711, 37335, 5470, 13830, 100741, 8889, 112650]"
24,25,34.8104673,4253.277,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267, 33126, 109015, 69476, 180399, 24074, 65720, 11711, 37335, 5470, 13830, 100741, 8889, 112650, 28215]"
25,26,34.810959100000005,4322.82,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267, 33126, 109015, 69476, 180399, 24074, 65720, 11711, 37335, 5470, 13830, 100741, 8889, 112650, 28215, 130279]"
26,27,34.811463399999994,4337.808,"[38868, 72210, 6737, 63861, 13884, 96321, 13451, 7427, 21759, 98618, 19267, 33126, 109015, 69476, 180399, 24074, 65720, 11711, 37335, 5470, 13830, 100741, 8889, 112650, 28215, 130279, 5945]"
