,k,run time,average cover size,S
0,1,1.441828,1486.287,[107]
1,2,1.4418828999999995,1539.345,"[107, 1912]"
2,3,1.4420506,1734.495,"[107, 1912, 1684]"
3,4,1.4421556999999998,1819.813,"[107, 1912, 1684, 3437]"
4,5,1.4426869999999994,1865.494,"[107, 1912, 1684, 3437, 0]"
5,6,1.4692425999999994,1864.167,"[107, 1912, 1684, 3437, 0, 348]"
6,7,1.5011412999999996,1900.198,"[107, 1912, 1684, 3437, 0, 348, 686]"
7,8,1.5967381999999999,1903.8,"[107, 1912, 1684, 3437, 0, 348, 686, 1085]"
8,9,1.5986383999999996,1907.429,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423]"
9,10,1.6029970000000002,1911.296,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698]"
10,11,1.6055789999999996,1911.03,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239]"
11,12,1.6081230999999994,1914.498,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398]"
12,13,1.608683,1908.855,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572]"
13,14,1.6119082999999996,1912.632,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422]"
14,15,1.6128513999999994,1913.109,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365]"
15,16,1.616645,1910.947,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110]"
16,17,1.6176063999999997,1913.86,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405]"
17,18,1.6185710000000002,1915.622,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835]"
18,19,1.6189979999999995,1913.357,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524]"
19,20,1.6201574,1914.258,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524, 3014]"
20,21,1.6205333,1914.999,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524, 3014, 2970]"
21,22,1.6207323000000002,1914.973,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279]"
22,23,1.6215254999999997,1913.909,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279, 1315]"
23,24,1.6237442999999994,1917.798,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279, 1315, 556]"
24,25,1.6249631999999998,1915.707,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279, 1315, 556, 2415]"
25,26,1.6251558,1914.385,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279, 1315, 556, 2415, 2057]"
26,27,1.6255781999999996,1917.858,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279, 1315, 556, 2415, 2057, 1843]"
27,28,1.626405,1916.502,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279, 1315, 556, 2415, 2057, 1843, 1812]"
28,29,1.6266052000000002,1916.544,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279, 1315, 556, 2415, 2057, 1843, 1812, 2712]"
29,30,1.6283528,1916.052,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279, 1315, 556, 2415, 2057, 1843, 1812, 2712, 1309]"
30,31,1.6285714000000002,1917.335,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279, 1315, 556, 2415, 2057, 1843, 1812, 2712, 1309, 3238]"
31,32,1.6287884999999998,1916.961,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279, 1315, 556, 2415, 2057, 1843, 1812, 2712, 1309, 3238, 1108]"
32,33,1.6292248999999996,1918.173,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279, 1315, 556, 2415, 2057, 1843, 1812, 2712, 1309, 3238, 1108, 1505]"
33,34,1.6299381999999998,1921.864,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279, 1315, 556, 2415, 2057, 1843, 1812, 2712, 1309, 3238, 1108, 1505, 3257]"
34,35,1.6301923,1918.353,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 422, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279, 1315, 556, 2415, 2057, 1843, 1812, 2712, 1309, 3238, 1108, 1505, 3257, 2221]"
