,k,run time,average cover size,S
0,1,0.8921073000000002,1875.509,[107]
1,2,0.8921353999999999,1909.278,"[107, 1912]"
2,3,0.8922536999999995,2008.369,"[107, 1912, 1684]"
3,4,0.8923046999999995,2116.658,"[107, 1912, 1684, 3437]"
4,5,0.8925923999999998,2159.16,"[107, 1912, 1684, 3437, 0]"
5,6,0.9070833,2160.704,"[107, 1912, 1684, 3437, 0, 348]"
6,7,0.9250528999999998,2224.074,"[107, 1912, 1684, 3437, 0, 348, 686]"
7,8,1.0136374999999997,2223.665,"[107, 1912, 1684, 3437, 0, 348, 686, 1085]"
8,9,1.0147148000000001,2222.835,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423]"
9,10,1.0170922999999998,2228.378,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698]"
10,11,1.0185826000000002,2225.218,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239]"
11,12,1.0199862,2225.04,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398]"
12,13,1.0202811999999994,2229.81,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572]"
13,14,1.0224647999999998,2227.051,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 1365]"
14,15,1.0245052000000001,2229.666,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 1365, 2110]"
15,16,1.0250424999999996,2230.312,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 1365, 2110, 1405]"
16,17,1.0255453999999995,2226.689,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 1365, 2110, 1405, 2835]"
17,18,1.0257698,2227.304,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 1365, 2110, 1405, 2835, 1524]"
18,19,1.0263581999999998,2228.86,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 1365, 2110, 1405, 2835, 1524, 3014]"
19,20,1.0265518999999994,2227.845,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 1365, 2110, 1405, 2835, 1524, 3014, 2970]"
20,21,1.0266513000000002,2227.248,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279]"
21,22,1.0270527999999999,2228.435,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279, 1315]"
22,23,1.0282919000000001,2228.311,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279, 1315, 556]"
23,24,1.0289722000000001,2226.593,"[107, 1912, 1684, 3437, 0, 348, 686, 1085, 423, 698, 2239, 1398, 1572, 1365, 2110, 1405, 2835, 1524, 3014, 2970, 1279, 1315, 556, 2415]"
