,k,run time,average cover size,S
0,1,3.334406200000001,3477.115,[26536]
1,2,3.3344379,3480.132,"[26536, 4115]"
2,3,3.3344683999999996,3483.408,"[26536, 4115, 4840]"
3,4,3.3345633999999995,3478.184,"[26536, 4115, 4840, 1520]"
4,5,3.334793200000001,3474.575,"[26536, 4115, 4840, 1520, 15347]"
5,6,3.335221400000001,3493.468,"[26536, 4115, 4840, 1520, 15347, 1568]"
6,7,3.3354033000000003,3492.635,"[26536, 4115, 4840, 1520, 15347, 1568, 3333]"
7,8,3.3356544,3494.051,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216]"
8,9,3.3364041,3492.849,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809]"
9,10,3.3377568,3494.827,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567]"
10,11,3.3383565000000006,3498.101,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061]"
11,12,3.3401246999999996,3558.235,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735]"
12,13,3.3406904000000006,3567.38,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651]"
13,14,3.3422226999999998,3563.909,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192]"
14,15,3.3429597000000006,3559.831,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904]"
15,16,3.344551,3570.949,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162]"
16,17,3.3522989,3627.22,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887]"
17,18,3.3537386000000007,3635.839,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356]"
18,19,3.3628586,3628.987,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030]"
19,20,3.362988500000001,3638.084,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673]"
20,21,3.364404600000001,3635.099,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025]"
21,22,3.366156600000001,3643.903,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683]"
22,23,3.386270800000001,3644.367,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907]"
23,24,3.3865986,3645.164,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758]"
24,25,3.4025095,3646.412,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606]"
25,26,3.4279927,3641.633,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566]"
26,27,3.4283329,3705.819,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364]"
27,28,3.4295506,3700.092,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653]"
28,29,3.429661500000001,3701.538,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653, 17529]"
29,30,3.4310017000000004,3759.409,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653, 17529, 10713]"
30,31,3.4320744000000003,3761.747,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653, 17529, 10713, 2443]"
31,32,3.442940600000001,3787.61,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653, 17529, 10713, 2443, 5378]"
32,33,3.4452345000000006,3789.107,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653, 17529, 10713, 2443, 5378, 22778]"
33,34,3.446678600000001,3794.136,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673, 6025, 13683, 11907, 15758, 8606, 3566, 364, 10653, 17529, 10713, 2443, 5378, 22778, 15923]"
