,S,average cover size,k,run time
0,[104],464.097,1,0.15529949999999992
1,"[104, 22]",463.24,2,0.15538890000000016
2,"[104, 22, 41]",463.26,3,0.1554689000000007
3,"[104, 22, 41, 40]",464.832,4,0.15555709999999934
4,"[104, 22, 41, 40, 232]",464.304,5,0.15567339999999952
5,"[104, 22, 41, 40, 232, 75]",465.047,6,0.15575560000000088
6,"[104, 22, 41, 40, 232, 75, 23]",464.731,7,0.1559109999999997
7,"[104, 22, 41, 40, 232, 75, 23, 134]",465.781,8,0.15600030000000054
8,"[104, 22, 41, 40, 232, 75, 23, 134, 354]",465.894,9,0.15626980000000046
9,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133]",466.614,10,0.1565758000000006
10,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51]",466.436,11,0.15674899999999958
11,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577]",467.407,12,0.15683369999999996
12,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71]",468.367,13,0.1570209000000009
13,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433]",467.392,14,0.15736230000000084
14,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139]",469.061,15,0.15798249999999925
15,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355]",468.847,16,0.15821500000000022
16,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355, 340]",467.877,17,0.15832920000000072
17,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355, 340, 563]",471.166,18,0.15844590000000025
18,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355, 340, 563, 136]",470.065,19,0.1587929999999993
19,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355, 340, 563, 136, 428]",470.259,20,0.1588838999999993
20,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355, 340, 563, 136, 428, 119]",471.155,21,0.15910490000000088
21,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355, 340, 563, 136, 428, 119, 44]",471.487,22,0.1592526999999997
22,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355, 340, 563, 136, 428, 119, 44, 105]",472.099,23,0.15938870000000094
23,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184]",473.057,24,0.1596264000000005
24,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184, 218]",471.594,25,0.15972829999999938
25,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184, 218, 453]",473.563,26,0.1598872999999994
26,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184, 218, 453, 0]",472.665,27,0.16017639999999922
27,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184, 218, 453, 0, 68]",473.824,28,0.16033020000000064
28,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184, 218, 453, 0, 68, 503]",472.872,29,0.16049399999999991
29,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184, 218, 453, 0, 68, 503, 236]",474.38,30,0.1606311999999992
30,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184, 218, 453, 0, 68, 503, 236, 366]",474.789,31,0.1614304999999998
31,"[104, 22, 41, 40, 232, 75, 23, 134, 354, 133, 51, 577, 71, 433, 139, 355, 340, 563, 136, 428, 119, 44, 105, 184, 218, 453, 0, 68, 503, 236, 366, 181]",476.145,32,0.1618320999999998
