,k,run time,average cover size,S
0,1,0.1050962000000002,73.957,[104]
1,2,0.10514500000000027,83.8847,"[104, 332]"
2,3,0.10517310000000002,133.3861,"[104, 332, 22]"
3,4,0.10524070000000041,135.0194,"[104, 332, 22, 40]"
4,5,0.10529210000000022,136.7576,"[104, 332, 22, 40, 41]"
5,6,0.10536320000000021,154.6146,"[104, 332, 22, 40, 41, 232]"
6,7,0.1054056000000001,178.9526,"[104, 332, 22, 40, 41, 232, 20]"
7,8,0.10543959999999997,192.7813,"[104, 332, 22, 40, 41, 232, 20, 23]"
8,9,0.10549059999999999,192.6643,"[104, 332, 22, 40, 41, 232, 20, 23, 75]"
9,10,0.10552690000000009,210.9136,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134]"
10,11,0.10556480000000024,216.5666,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353]"
11,12,0.1056054000000004,224.7383,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353, 354]"
12,13,0.10565320000000034,225.0943,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353, 354, 48]"
13,14,0.10575360000000034,230.8033,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353, 354, 48, 331]"
14,15,0.10579860000000041,255.0822,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353, 354, 48, 331, 133]"
15,16,0.10591630000000007,257.8044,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353, 354, 48, 331, 133, 2]"
16,17,0.1059730000000001,260.6822,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353, 354, 48, 331, 133, 2, 577]"
17,18,0.10603910000000027,263.9517,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353, 354, 48, 331, 133, 2, 577, 377]"
18,19,0.10609900000000039,267.7964,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353, 354, 48, 331, 133, 2, 577, 377, 395]"
