,k,run time,average cover size,S
0,1,0.10077539999999985,75.87,[104]
1,2,0.10082320000000022,82.061,"[104, 332]"
2,3,0.10085100000000002,133.48,"[104, 332, 22]"
3,4,0.10091729999999988,135.183,"[104, 332, 22, 40]"
4,5,0.10096850000000002,136.013,"[104, 332, 22, 40, 41]"
5,6,0.1010384000000002,152.675,"[104, 332, 22, 40, 41, 232]"
6,7,0.10108039999999985,179.619,"[104, 332, 22, 40, 41, 232, 20]"
7,8,0.10111330000000018,190.454,"[104, 332, 22, 40, 41, 232, 20, 23]"
8,9,0.10116369999999986,192.249,"[104, 332, 22, 40, 41, 232, 20, 23, 75]"
9,10,0.10119930000000021,211.162,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134]"
10,11,0.10123700000000024,216.576,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353]"
11,12,0.10127679999999994,223.45,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353, 354]"
12,13,0.10132370000000002,225.064,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353, 354, 48]"
13,14,0.10146390000000016,248.985,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353, 354, 48, 133]"
14,15,0.10157650000000018,253.724,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353, 354, 48, 133, 2]"
15,16,0.10163089999999997,254.285,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353, 354, 48, 133, 2, 577]"
16,17,0.10169469999999992,260.171,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353, 354, 48, 133, 2, 577, 377]"
17,18,0.10174139999999987,262.867,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353, 354, 48, 133, 2, 577, 377, 395]"
18,19,0.10185500000000003,292.547,"[104, 332, 22, 40, 41, 232, 20, 23, 75, 134, 353, 354, 48, 133, 2, 577, 377, 395, 13]"
