,k,run time,average cover size,S
0,1,1.3376529999999995,823.292,[107]
1,2,1.3376839999999994,1045.459,"[107, 1912]"
2,3,1.3378252999999996,1315.835,"[107, 1912, 3437]"
3,4,1.3380485000000002,1627.503,"[107, 1912, 3437, 0]"
4,5,1.3385680999999998,1635.496,"[107, 1912, 3437, 0, 1888]"
5,6,1.3387775,1628.707,"[107, 1912, 3437, 0, 1888, 2611]"
6,7,1.3395225999999996,1636.433,"[107, 1912, 3437, 0, 1888, 2611, 2560]"
7,8,1.3398136000000003,1637.796,"[107, 1912, 3437, 0, 1888, 2611, 2560, 1800]"
8,9,1.3407818000000002,1636.074,"[107, 1912, 3437, 0, 1888, 2611, 2560, 1800, 2602]"
9,10,1.3412030000000001,1628.762,"[107, 1912, 3437, 0, 1888, 2611, 2560, 1800, 2602, 2590]"
10,11,1.3413388,1658.516,"[107, 1912, 3437, 0, 1888, 2611, 2560, 1800, 2602, 2590, 2542]"
11,12,1.3415026999999995,1629.221,"[107, 1912, 3437, 0, 1888, 2611, 2560, 1800, 2602, 2590, 2542, 2604]"
12,13,1.3419477999999998,1646.303,"[107, 1912, 3437, 0, 1888, 2611, 2560, 1800, 2602, 2590, 2542, 2604, 2607]"
13,14,1.3429155999999995,1628.889,"[107, 1912, 3437, 0, 1888, 2611, 2560, 1800, 2602, 2590, 2542, 2604, 2607, 2526]"
14,15,1.3439451,1643.303,"[107, 1912, 3437, 0, 1888, 2611, 2560, 1800, 2602, 2590, 2542, 2604, 2607, 2526, 2601]"
15,16,1.3445336999999995,1634.252,"[107, 1912, 3437, 0, 1888, 2611, 2560, 1800, 2602, 2590, 2542, 2604, 2607, 2526, 2601, 2564]"
16,17,1.3447294999999997,1629.796,"[107, 1912, 3437, 0, 1888, 2611, 2560, 1800, 2602, 2590, 2542, 2604, 2607, 2526, 2601, 2564, 2624]"
17,18,1.3452728,1633.989,"[107, 1912, 3437, 0, 1888, 2611, 2560, 1800, 2602, 2590, 2542, 2604, 2607, 2526, 2601, 2564, 2624, 2586]"
18,19,1.3459044000000002,1641.178,"[107, 1912, 3437, 0, 1888, 2611, 2560, 1800, 2602, 2590, 2542, 2604, 2607, 2526, 2601, 2564, 2624, 2586, 2625]"
