,k,run time,average cover size,S
0,1,3.9735818999999992,354.635,[26536]
1,2,3.9736274,693.199,"[26536, 4115]"
2,3,3.9736750999999995,1109.494,"[26536, 4115, 4840]"
3,4,3.9738278000000005,1162.446,"[26536, 4115, 4840, 1520]"
4,5,3.9741382000000005,1177.071,"[26536, 4115, 4840, 1520, 15347]"
5,6,3.9747394000000007,1278.882,"[26536, 4115, 4840, 1520, 15347, 1568]"
6,7,3.9750203000000006,1427.727,"[26536, 4115, 4840, 1520, 15347, 1568, 3333]"
7,8,3.9764011000000004,1549.781,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216]"
8,9,3.976997299999999,1667.99,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809]"
9,10,3.9784010999999992,1734.047,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567]"
10,11,3.979622899999999,1785.181,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061]"
11,12,3.9819040999999995,1853.832,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735]"
12,13,3.9823967000000007,1906.144,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651]"
13,14,3.9854994999999995,2034.222,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192]"
14,15,3.9860448,2115.858,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904]"
15,16,3.9876799999999992,2174.507,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162]"
16,17,3.994701599999999,2155.525,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887]"
17,18,3.9984663000000005,2244.063,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356]"
18,19,4.0065144,2272.053,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030]"
19,20,4.006940500000001,2333.064,"[26536, 4115, 4840, 1520, 15347, 1568, 3333, 3216, 809, 5567, 5061, 21735, 12651, 5192, 6904, 2162, 4887, 2356, 11030, 3673]"
