,NI,u
0,783.377693637175,1143
1,650.702846535477,6655
2,462.63490369937216,6555
3,408.6659392739524,1689
4,369.81978893278307,6859
5,298.1874171519628,5848
6,257.5342207531786,7338
7,249.50871294252724,1435
8,240.94548473626259,7155
9,239.52476013675724,4951
10,236.2883407914423,7129
11,236.26894793588315,4466
12,232.69730256153727,6768
13,226.02214619211284,5351
14,222.62668556380316,604
15,221.394749301768,970
16,220.2614701065303,6098
17,220.0322440989288,7315
18,203.59424673587108,435
19,198.74102956784805,7286
20,198.6406523504948,5165
21,196.24952481607343,6932
22,195.34575721175204,5529
23,192.83755313454506,6486
24,186.9078691926617,6765
25,185.91340915541534,3784
26,185.02167518184257,7061
27,169.5392337458885,5345
28,166.7354796412142,865
29,165.2559664312257,1227
30,159.84884607097584,1981
31,159.03210489448713,1179
32,158.92979071113,638
33,158.84248509834947,5484
34,156.3386321597569,4662
35,153.13702579468494,6744
36,152.77787305124218,7309
37,148.4317214097587,5121
38,146.1603052319617,2258
39,144.27242167288387,7297
40,143.43959872075172,6755
41,142.26376619308397,636
42,141.63317679978087,521
43,140.54697286157452,324
44,140.08147327856443,5151
45,136.9855190690405,897
46,135.17192706837372,6572
47,133.52528338677013,3346
48,127.69466204289549,6863
49,124.25874968804217,111
50,123.82038888561009,6858
51,123.36800600930654,5868
52,122.75871690894493,6872
53,122.0448732352661,7062
54,121.40191801235514,2265
55,121.26195837642368,7173
56,120.41782460595519,5287
57,119.7461554579589,6924
58,118.7940673381601,2348
59,118.13939260522334,3460
60,115.28415542628471,7324
61,115.04321983725188,1659
62,113.40445794310818,7102
63,112.72799010093723,6426
64,112.31646949638771,2844
65,111.9220363920415,2271
66,111.5150521632181,7144
67,110.40448452215018,4531
68,109.69648509753479,4937
69,108.27869211774731,520
70,107.83637777383285,369
71,107.81980581231568,6930
72,106.73087810330574,781
73,105.50128776750228,6960
74,105.19573097418525,6891
75,104.24789735757797,777
76,104.2328701405644,7369
77,103.67348346893411,2115
78,103.12882092569808,6467
79,101.3671056034781,6605
80,100.48477771182574,1330
81,100.31761073884256,5335
82,99.91158890558077,3156
83,99.5786150324978,3876
84,99.53777505192754,4487
85,98.80385003302278,7285
86,98.58814320133826,631
87,98.05754797059424,5835
88,97.49196226484027,5231
89,97.38647343905913,936
90,96.77696417133332,1495
91,96.63496622764706,5477
92,96.58673913988841,5324
93,96.24929424949647,795
94,96.17031568079966,1015
95,95.72172840755897,653
96,94.94501592576358,3513
97,94.40724901199518,5159
98,94.33941539189114,4516
99,92.74320765981732,3582
100,92.71842674506227,3831
101,91.97916377854345,347
102,91.97788229640939,7301
103,89.66598500384272,2999
104,89.02040594266003,5927
105,88.86775061284725,5474
106,88.42290384996839,3870
107,88.19930965632781,7321
108,87.78826650983977,4996
109,87.17912546850962,2935
110,86.89634668935159,7131
111,86.61634021842171,6608
112,85.67142229326625,4238
113,85.52369478504453,4137
114,83.81105648974169,3224
115,83.75512993588967,1414
116,83.57258779012042,829
117,83.0564814814611,3978
118,82.42017314195131,370
119,82.06959792367122,3738
120,81.92849222672474,3990
121,81.55330742937616,6250
122,81.13315146215926,5549
123,80.86164496261767,3672
124,80.2399777969291,7585
125,79.81411971076643,424
126,79.37947158506992,2456
127,79.0401456045782,1542
128,77.96786188790854,1151
129,77.22082262898336,5257
130,76.43001462371508,3493
131,76.40480011821226,1406
132,75.90827048162173,738
133,75.78157498392301,4992
134,75.27433367448998,1251
135,75.0592087322002,6800
136,74.84786324500618,5756
137,74.84530152455423,6568
138,74.80756527068718,3146
139,74.38480967299431,4122
140,74.32910040365161,7620
141,74.11683900180296,5163
142,73.84435211834939,3864
143,73.814355322268,460
144,73.66350839904291,6774
145,73.65832182799987,2019
146,73.62377177362244,5243
147,73.3213754252297,1338
148,72.1799110216949,2575
149,71.5235430651693,4117
150,71.4906043312303,143
151,70.96852376501424,6845
152,70.89799557053267,6436
153,70.86260703370908,6884
154,70.12427677889576,6225
155,70.05482705075278,6657
156,69.92871936865544,6639
157,69.79861952175563,1265
158,69.77309179204039,3235
159,69.0126053517677,1516
160,68.99027136024974,7088
161,68.95941272639388,4356
162,68.81505231588778,2188
163,68.28178550822024,3176
164,67.82488393787341,1222
165,67.34928102426925,5919
166,67.34157813786638,1905
167,67.1925932322813,7670
168,67.05724698512995,6990
169,67.03073905728061,3941
170,66.9224510890921,1545
171,66.84361013525655,690
172,66.61807609889104,2860
173,66.34154688701796,6867
174,65.96914815772723,7265
175,65.96751963361334,6281
176,65.81084887776372,3772
177,65.56628252323952,6854
178,65.53784667875759,300
179,65.42902122477271,5651
180,65.39914738284762,1381
181,65.36587364778461,3114
182,65.28526432841699,3534
183,65.24947991434237,5569
184,65.2277996005352,6318
185,65.18775055429546,6162
186,65.14238340473061,5768
187,65.0267106524471,5066
188,64.95521335185076,4473
189,64.94555938661999,3919
190,64.12213435587898,7795
191,63.89957770209054,5238
192,63.82221287251619,2918
193,63.41802124671542,2963
194,63.338379416843395,3091
195,62.94487001955953,5598
196,62.750325504217955,7136
197,62.17162313934918,6622
198,62.10599214563613,3857
199,62.03573366739235,4732
200,61.954037360996246,5970
201,61.91549917256684,1774
202,61.40203432722642,8256
203,60.98006503543918,3422
204,60.96853906457388,7148
205,60.95108325266071,7820
206,60.65350108854876,4756
207,60.614955162399106,1785
208,60.53274309588316,6573
209,60.515037746657576,179
210,60.35534847554272,446
211,60.30728594478252,2287
212,60.29538489411611,354
213,60.198052108741884,6180
214,60.09352468420858,3441
215,59.68447013386883,7180
216,59.65819621916275,5627
217,59.468863696354525,683
218,59.39656473274427,3893
219,59.377624728241926,5246
220,59.36890388000715,7005
221,59.17850458244296,418
222,58.79250948377882,475
223,58.57968952502617,3425
224,58.570342530126545,6376
225,58.31521753769919,6705
226,58.1226150829023,3490
227,58.00294295214678,7597
228,57.63761659327018,3533
229,57.28395341556625,1526
230,56.98050255859526,702
231,56.67218646508857,4537
232,56.66974982058547,6874
233,56.510267768006706,5342
234,56.390584105861656,2907
235,56.038283432144716,4718
236,55.8955599975199,2927
237,55.7247009679444,5809
238,55.713687485810176,1470
239,55.62383604782142,1323
240,55.021017189106985,1733
241,54.87848099682981,901
242,54.778461532071624,3945
243,54.69592455471293,1683
244,54.66863901794499,5584
245,54.24018290965539,762
246,54.217572498312336,838
247,53.97036052870244,5634
248,53.95532660090173,7262
249,53.57024406350155,4439
250,53.40260148952128,7640
251,53.31420621917098,1895
252,53.22590404236539,5900
253,52.96721468734205,3658
254,52.877338787231224,5109
255,52.660542567605916,966
256,52.47432442218024,5527
257,52.384416022012786,326
258,52.37664426021945,1940
259,52.09109073007271,5228
260,51.831520864712424,6943
261,51.702866067388065,3434
262,51.64461846635155,511
263,51.56700461465407,778
264,51.54017535572595,5234
265,51.41120577777656,4976
266,51.31074899965022,5018
267,51.266521976415916,6737
268,51.16861744577948,7722
269,50.946517158751526,7113
270,50.91221350693368,7096
271,50.85681236669752,5483
272,50.818708827755884,1840
273,50.521281993948264,2833
274,50.12388377125905,6945
275,49.973749837704354,7188
276,49.971584487944554,3034
277,49.632569752325985,4364
278,49.41753285174989,7382
279,49.41496101432216,6661
280,49.08094644825002,1499
281,49.04281379370917,3880
282,48.85466732633437,5068
283,48.85466732633437,689
284,48.8162193767441,1176
285,48.80328475851834,4974
286,48.785940837306036,191
287,48.70104070441768,6290
288,48.697238978852525,5224
289,48.3495056198941,7208
290,48.30245317146581,5062
291,48.29956035914522,5978
292,48.22004357620048,7713
293,48.09219270029191,3175
294,48.02287592966389,2979
295,47.98149558719883,4071
296,47.492052361997494,7291
297,47.26733342737532,2404
298,47.26617767544857,4735
299,47.22484959839135,3072
300,46.889489685921035,4070
301,46.833565848297496,6962
302,46.79545574190178,1157
303,46.76612536437388,266
304,46.4427589174439,2673
305,46.052263375545884,5153
306,45.99218213648104,1503
307,45.99218213648104,7032
308,45.99118994511727,5611
309,45.88600391784871,7697
310,45.88600391784871,3592
311,45.529443238984655,7105
312,45.47537828878492,7160
313,45.45908992407369,7742
314,45.42713188998026,7230
315,45.41605695239131,4408
316,45.39378339375413,4898
317,45.39203041677666,7307
318,45.333395728121204,5721
319,45.21843964271748,5635
320,45.128131408830946,6463
321,44.77250599993126,617
322,44.70236762184601,3884
323,44.578033215799124,6743
324,44.57703527333339,4912
325,44.47697494358436,6915
326,44.44414683448404,7304
327,44.217665226015036,6971
328,44.08670649335067,2776
329,44.04979945719477,1783
330,43.96508126367285,5997
331,43.64064116402876,6664
332,43.52814578835178,6849
333,43.458933982954996,7312
334,43.397370750765205,372
335,43.37617659779725,6021
336,43.273271327136975,5699
337,43.084500631651096,1441
338,43.067227302026005,2246
339,43.0177565295727,955
340,42.91122504031548,4578
341,42.59307973282454,5212
342,42.41714587969972,6544
343,41.92042599870209,3929
344,41.92042599870209,3804
345,41.90770089969932,5604
346,41.86696785462734,807
347,41.86197775699023,1663
348,41.85564531768166,5218
349,41.855645317681656,387
350,41.815430820358856,1426
351,41.787660626982465,6628
352,41.681931516022395,3451
353,41.472988121475275,5402
354,41.304509439043095,6817
355,41.20576020762287,6084
356,41.18480176441587,6656
357,41.157869480924234,7413
358,41.14532310448819,6883
359,41.10757831514313,7066
360,41.07970387795646,3363
361,41.06810593081574,5706
362,40.933871192962876,2407
363,40.865434146987525,4423
364,40.777443529882554,4380
365,40.51914073593694,1046
366,40.51494236516553,5790
367,40.43526359909367,7075
368,40.30150918857864,5204
369,40.090991444654996,6823
370,40.036904637434525,3836
371,39.90424368017857,7529
372,39.769270291917174,97
373,39.65954758764977,2651
374,39.6121244103545,5124
375,39.18036224729949,7132
376,39.15480015426011,6247
377,38.95519518534035,6947
378,38.94804571252264,4474
379,38.763400513708326,7106
380,38.73575900316183,583
381,38.689049070496836,7658
382,38.545810128763954,996
383,38.323711929800794,6550
384,38.21828885977542,6830
385,38.016989670673226,5466
386,37.98234314084234,2676
387,37.950358804081375,3261
388,37.878391280098356,993
389,37.832686485295056,1239
390,37.80600777155508,618
391,37.80600777155508,4930
392,37.78936254780881,6904
393,37.762477317822565,4508
394,37.69160072313008,2951
395,37.60538085551675,5261
396,37.60538085551675,7116
397,37.60538085551674,3288
398,37.46117125673519,1000
399,37.36326050341921,4458
400,37.28654846300495,5581
401,37.232670146640835,7128
402,37.16137858607453,8476
403,37.1416666228861,6989
404,37.058936952121556,1694
405,37.05423670049982,7867
406,37.02142845832262,7318
407,36.991885492151084,4556
408,36.91697920290191,5023
409,36.89333945323315,180
410,36.81151022511169,7074
411,36.765899614139904,2848
412,36.716701318121835,1813
413,36.707611133800626,6619
414,36.704053653694956,5649
415,36.58950031477817,3215
416,36.585653997886546,4861
417,36.50282610562391,4997
418,36.47898203064811,1555
419,36.43881627534779,1517
420,36.38561506837017,769
421,36.288363545986186,715
422,36.21238042740537,6412
423,36.21238042740537,169
424,36.20802425067806,718
425,35.943609377704334,5878
426,35.857186168264974,2257
427,35.68527955382416,1365
428,35.6619367768266,7203
429,35.562709242527546,5597
430,35.562709242527546,4841
431,35.548211248166524,6775
432,35.512721115748306,6380
433,35.47305017183371,3011
434,35.228999432699375,8081
435,35.18253159025774,3205
436,35.18253159025774,6798
437,35.18253159025774,5628
438,35.13858258096165,3612
439,34.818615451125815,1217
440,34.68091122540213,793
441,34.637265926382376,3826
442,34.637265926382376,5303
443,34.637265926382376,5949
444,34.63610213887117,692
445,34.41553710307424,1140
446,34.41492004290984,3628
447,34.41492004290984,68
448,34.39852946481783,5859
449,34.38721875540867,3770
450,34.38266053641915,5847
451,34.36710710549368,6931
452,34.326822638344034,5012
453,34.314832895568024,6479
454,34.19417622678061,5384
455,34.09222347853118,4402
456,33.96989665027856,7123
457,33.94102761828468,1479
458,33.87929135333032,3129
459,33.77917144848932,7146
460,33.77917144848932,6979
461,33.76339747137463,6835
462,33.747538431016324,4023
463,33.61990430728436,3169
464,33.5695353940722,2658
465,33.55271704421501,6314
466,33.541135851471,5668
467,33.53598368324143,1946
468,33.48881478128929,5538
469,33.47965227845211,4757
470,33.449354391995094,4879
471,33.393418606810975,1467
472,33.31093601178168,1572
473,33.309981071710155,641
474,33.309981071710155,7272
475,33.134002864863966,2808
476,33.12248056778945,7149
477,33.05332507995911,1287
478,33.02236066294846,6688
479,33.02236066294846,4295
480,32.94261142714963,130
481,32.91610723570072,6724
482,32.80275586374958,1232
483,32.59207629465686,2080
484,32.549764947052566,5683
485,32.549764947052566,7018
486,32.5074809984533,5274
487,32.47800107696306,3529
488,32.4766194529515,4865
489,32.44484324790234,3729
490,32.426638103944555,5773
491,32.426638103944555,5444
492,32.426638103944555,3095
493,32.426638103944555,1107
494,32.426638103944555,5427
495,32.42432802130087,1431
496,32.42432802130087,4095
497,32.39701276232993,7887
498,32.323365418823286,6386
499,32.30537887343664,7210
500,32.29400370452433,5041
501,32.29400370452433,7122
502,32.26845651495258,352
503,32.16809803574814,5729
504,32.16809803574814,1758
505,32.16809803574814,5544
506,32.10616549051196,5301
507,32.10522642178755,7225
508,32.025831967775396,3577
509,31.874195803670574,6844
510,31.67115432903474,2656
511,31.618994655922354,3827
512,31.51878303063205,1370
