,core,degree,h,influence,u
0,31,205,43,4.096,1143
1,22,163,37,3.11,6655
2,28,127,35,2.769,6555
3,31,109,39,2.721,1689
4,28,105,37,2.485,6859
5,31,83,39,2.415,4951
6,31,82,39,2.392,7129
7,28,94,1,2.254,5848
8,31,75,1,2.196,7102
9,6,113,10,2.194,6932
10,31,69,38,2.185,6765
11,31,57,38,2.152,2271
12,28,78,1,2.14,435
13,31,66,38,2.095,897
14,31,58,38,2.057,7173
15,25,48,1,2.014,5835
16,31,56,38,2.012,6872
17,29,66,34,1.994,970
18,10,84,1,1.982,7338
19,31,53,37,1.978,5231
20,28,68,33,1.977,5529
21,11,70,27,1.97,1435
22,31,55,38,1.956,7309
23,3,91,7,1.945,7324
24,28,59,33,1.94,3346
25,31,51,1,1.936,5549
26,11,70,17,1.906,6098
27,31,43,1,1.9,6985
28,28,62,32,1.899,5345
29,10,71,1,1.888,6768
30,28,60,32,1.888,6755
31,31,49,36,1.884,3876
32,31,47,38,1.884,3893
33,10,71,20,1.882,4466
34,31,58,1,1.881,3870
35,28,56,1,1.874,6924
36,28,58,33,1.873,7062
37,31,44,37,1.872,3929
38,28,53,32,1.867,7144
39,10,69,22,1.857,604
40,10,73,22,1.857,7155
41,31,44,37,1.855,3804
42,31,45,37,1.851,460
43,14,65,23,1.843,5351
44,10,74,1,1.84,7315
45,31,47,1,1.838,7113
46,31,45,37,1.834,6318
47,28,45,33,1.829,3592
48,28,53,34,1.822,521
49,31,39,1,1.816,5418
50,28,44,33,1.808,1503
51,12,63,1,1.798,7286
52,28,59,1,1.796,5484
53,31,43,1,1.795,5278
54,31,48,1,1.794,1774
55,28,44,33,1.786,3288
56,31,40,36,1.783,1572
57,28,37,1,1.774,3095
58,10,60,1,1.77,865
59,28,44,33,1.761,5261
60,28,42,33,1.76,4930
61,31,39,36,1.751,718
62,28,45,33,1.747,7697
63,28,44,33,1.747,7116
64,28,44,33,1.744,7032
65,28,44,33,1.741,418
66,28,43,1,1.739,3215
67,4,73,1,1.733,7369
68,27,44,1,1.732,369
69,31,42,1,1.732,7159
70,28,42,1,1.728,800
71,28,47,1,1.728,3857
72,28,49,33,1.727,4516
73,31,42,36,1.727,6628
74,28,42,1,1.726,7640
75,28,55,1,1.723,6960
76,31,44,36,1.723,6945
77,31,36,1,1.722,1793
78,31,43,1,1.721,3072
79,28,42,1,1.717,5801
80,21,43,1,1.715,6863
81,31,42,1,1.715,6703
82,10,57,1,1.712,7061
83,31,38,1,1.709,7100
84,10,63,23,1.708,5165
85,31,38,1,1.707,5218
86,12,60,19,1.703,6486
87,28,42,33,1.699,618
88,28,37,1,1.698,6798
89,31,37,1,1.697,5320
90,28,42,1,1.696,4063
91,31,39,36,1.695,7093
92,22,40,1,1.691,631
93,14,52,1,1.688,4662
94,9,49,1,1.684,7297
95,28,36,1,1.682,7057
96,31,40,36,1.682,6757
97,15,53,18,1.681,6572
98,28,38,1,1.675,387
99,28,37,1,1.668,5444
100,22,38,1,1.668,3582
101,28,44,33,1.668,6884
102,5,61,1,1.663,6467
103,28,37,1,1.659,1107
104,28,37,1,1.659,5109
105,28,44,33,1.657,6943
106,10,48,21,1.656,5151
107,28,36,1,1.656,1758
108,22,38,1,1.655,5335
109,28,37,1,1.653,5773
110,22,37,1,1.651,3738
111,11,44,19,1.65,6744
112,15,41,1,1.649,6930
113,28,40,33,1.649,4976
114,28,36,1,1.648,3546
115,22,37,1,1.647,781
116,22,33,1,1.647,5756
117,28,36,1,1.646,5729
118,10,53,18,1.64,3784
119,22,35,1,1.638,6568
120,12,47,20,1.637,1981
121,28,35,32,1.633,5303
122,22,33,1,1.627,3941
123,28,34,1,1.626,5847
124,28,36,1,1.626,6849
125,31,36,1,1.623,5683
126,28,43,1,1.623,2188
127,28,34,1,1.619,1561
128,28,37,1,1.617,3205
129,21,39,1,1.613,4937
130,11,46,1,1.61,1179
131,28,32,31,1.607,3639
132,22,35,1,1.607,370
133,28,36,1,1.602,5481
134,7,52,14,1.599,1227
135,29,34,1,1.594,5301
136,12,48,1,1.593,4487
137,28,37,1,1.593,5628
138,28,38,1,1.592,7160
139,27,28,1,1.591,5389
140,28,35,32,1.585,5949
141,28,33,1,1.585,1063
142,11,49,17,1.581,638
143,10,39,1,1.577,1659
144,28,31,1,1.575,1582
145,31,36,1,1.575,7302
146,22,32,1,1.574,3176
147,6,54,11,1.572,5121
148,26,36,1,1.572,5919
149,22,30,1,1.572,762
150,31,33,1,1.572,7118
151,28,34,32,1.571,7179
152,22,31,1,1.568,1785
153,10,42,20,1.566,6858
154,28,36,1,1.56,7018
155,27,33,1,1.559,6933
156,28,36,1,1.559,5544
157,28,37,1,1.555,5427
158,21,33,26,1.553,3460
159,28,31,1,1.552,3386
160,28,35,32,1.55,3826
161,28,32,1,1.55,5925
162,28,32,1,1.547,7065
163,9,47,17,1.538,636
164,10,38,1,1.533,3831
165,15,45,17,1.532,1330
166,11,33,17,1.531,5868
167,28,31,1,1.531,893
168,22,32,1,1.53,4122
169,11,43,18,1.529,2999
170,22,31,1,1.524,3919
171,10,38,1,1.523,2348
172,28,32,1,1.517,346
173,14,39,1,1.512,520
174,26,31,1,1.509,4026
175,28,33,1,1.504,516
176,10,38,1,1.502,1015
177,27,35,1,1.499,1683
178,9,37,1,1.497,4996
179,11,38,17,1.495,2265
180,11,38,18,1.494,324
181,10,34,1,1.494,5477
182,28,33,1,1.493,1032
183,16,41,18,1.485,4531
184,14,32,22,1.478,829
185,10,37,16,1.475,5324
186,9,41,17,1.475,2258
187,26,28,27,1.471,7051
188,10,41,1,1.47,111
189,28,31,1,1.468,3133
190,14,31,1,1.466,1516
191,14,31,1,1.466,5066
192,11,34,1,1.464,6774
193,10,26,18,1.463,5927
194,10,30,1,1.462,1251
195,13,33,20,1.459,5287
196,20,30,1,1.456,5584
197,3,45,5,1.453,6800
198,10,36,19,1.452,6426
199,22,30,1,1.451,6874
200,27,28,1,1.446,6991
201,12,35,19,1.446,5474
202,3,42,1,1.445,6639
203,22,31,1,1.445,2860
204,10,36,1,1.444,3990
205,10,27,17,1.443,7285
206,9,39,1,1.44,5159
207,22,31,1,1.439,5569
208,9,32,1,1.43,6608
209,9,36,14,1.429,2844
210,25,27,1,1.429,3660
211,11,35,15,1.428,6891
212,28,29,1,1.427,3737
213,22,26,1,1.426,6883
214,27,27,1,1.423,5013
215,10,30,19,1.418,3441
216,9,33,11,1.416,6845
217,9,36,16,1.416,6605
218,9,34,1,1.415,2935
219,10,33,1,1.415,7301
220,10,26,1,1.412,1381
221,8,30,1,1.408,936
222,21,24,1,1.408,5224
223,14,27,17,1.404,3534
224,9,22,1,1.402,2963
225,11,35,1,1.4,795
226,6,38,10,1.398,2115
227,2,36,3,1.397,4262
228,10,29,1,1.397,5163
