,S,average cover size,k,run time
0,"[262110, 262109, 262108, 262107, 262106]",5.019999999999917,5,13.366747400000001
1,"[262110, 262109, 262108, 262107, 262106, 262105, 262104, 262103, 262102, 262101]",10.045999999999836,10,13.209621799999997
2,"[262110, 262109, 262108, 262107, 262106, 262105, 262104, 262103, 262102, 262101, 262100, 262099, 262098, 262097, 262096]",15.040000000000182,15,14.1726126
3,"[262110, 262109, 262108, 262107, 262106, 262105, 262104, 262103, 262102, 262101, 262100, 262099, 262098, 262097, 262096, 262095, 262094, 262093, 262092, 262091]",20.077999999999722,20,12.777332099999995
4,"[262110, 262109, 262108, 262107, 262106, 262105, 262104, 262103, 262102, 262101, 262100, 262099, 262098, 262097, 262096, 262095, 262094, 262093, 262092, 262091, 262090, 262089, 262088, 262087, 262086]",25.092999999999662,25,12.050354900000002
5,"[262110, 262109, 262108, 262107, 262106, 262105, 262104, 262103, 262102, 262101, 262100, 262099, 262098, 262097, 262096, 262095, 262094, 262093, 262092, 262091, 262090, 262089, 262088, 262087, 262086, 262085, 262084, 262083, 262082, 262081]",30.118000000000265,30,13.421960499999997
6,"[262110, 262109, 262108, 262107, 262106, 262105, 262104, 262103, 262102, 262101, 262100, 262099, 262098, 262097, 262096, 262095, 262094, 262093, 262092, 262091, 262090, 262089, 262088, 262087, 262086, 262085, 262084, 262083, 262082, 262081, 262080, 262079, 262078, 262077, 262076]",35.11499999999986,35,13.412466500000008
7,"[262110, 262109, 262108, 262107, 262106, 262105, 262104, 262103, 262102, 262101, 262100, 262099, 262098, 262097, 262096, 262095, 262094, 262093, 262092, 262091, 262090, 262089, 262088, 262087, 262086, 262085, 262084, 262083, 262082, 262081, 262080, 262079, 262078, 262077, 262076, 262075, 262074, 262073, 262072, 262071]",40.12899999999935,40,13.481465599999993
8,"[262110, 262109, 262108, 262107, 262106, 262105, 262104, 262103, 262102, 262101, 262100, 262099, 262098, 262097, 262096, 262095, 262094, 262093, 262092, 262091, 262090, 262089, 262088, 262087, 262086, 262085, 262084, 262083, 262082, 262081, 262080, 262079, 262078, 262077, 262076, 262075, 262074, 262073, 262072, 262071, 262070, 262069, 262068, 262067, 262066]",45.16200000000086,45,14.346375399999985
9,"[262110, 262109, 262108, 262107, 262106, 262105, 262104, 262103, 262102, 262101, 262100, 262099, 262098, 262097, 262096, 262095, 262094, 262093, 262092, 262091, 262090, 262089, 262088, 262087, 262086, 262085, 262084, 262083, 262082, 262081, 262080, 262079, 262078, 262077, 262076, 262075, 262074, 262073, 262072, 262071, 262070, 262069, 262068, 262067, 262066, 262065, 262064, 262063, 262062, 262061]",50.18199999999943,50,13.8298858
