,S,average cover size,k,run time
0,"[425956, 425955, 425954, 425953, 425950]",4.999999999999916,5,14.2440856
1,"[425956, 425955, 425954, 425953, 425950, 425948, 425943, 425941, 425940, 425936]",9.999999999999831,10,13.6127529
2,"[425956, 425955, 425954, 425953, 425950, 425948, 425943, 425941, 425940, 425936, 425933, 425932, 425931, 425929, 425928]",15.00000000000019,15,13.001820599999995
3,"[425956, 425955, 425954, 425953, 425950, 425948, 425943, 425941, 425940, 425936, 425933, 425932, 425931, 425929, 425928, 425927, 425926, 425925, 425924, 425921]",19.999999999999662,20,13.170989700000007
4,"[425956, 425955, 425954, 425953, 425950, 425948, 425943, 425941, 425940, 425936, 425933, 425932, 425931, 425929, 425928, 425927, 425926, 425925, 425924, 425921, 425920, 425918, 425917, 425915, 425913]",24.99999999999965,25,13.75686499999999
5,"[425956, 425955, 425954, 425953, 425950, 425948, 425943, 425941, 425940, 425936, 425933, 425932, 425931, 425929, 425928, 425927, 425926, 425925, 425924, 425921, 425920, 425918, 425917, 425915, 425913, 425912, 425911, 425910, 425909, 425908]",30.00000000000038,30,12.351197499999998
6,"[425956, 425955, 425954, 425953, 425950, 425948, 425943, 425941, 425940, 425936, 425933, 425932, 425931, 425929, 425928, 425927, 425926, 425925, 425924, 425921, 425920, 425918, 425917, 425915, 425913, 425912, 425911, 425910, 425909, 425908, 425906, 425905, 425904, 425903, 425902]",34.99999999999983,35,13.7620838
7,"[425956, 425955, 425954, 425953, 425950, 425948, 425943, 425941, 425940, 425936, 425933, 425932, 425931, 425929, 425928, 425927, 425926, 425925, 425924, 425921, 425920, 425918, 425917, 425915, 425913, 425912, 425911, 425910, 425909, 425908, 425906, 425905, 425904, 425903, 425902, 425901, 425900, 425899, 425897, 425895]",39.999999999999325,40,14.727104999999995
8,"[425956, 425955, 425954, 425953, 425950, 425948, 425943, 425941, 425940, 425936, 425933, 425932, 425931, 425929, 425928, 425927, 425926, 425925, 425924, 425921, 425920, 425918, 425917, 425915, 425913, 425912, 425911, 425910, 425909, 425908, 425906, 425905, 425904, 425903, 425902, 425901, 425900, 425899, 425897, 425895, 425894, 425893, 425890, 425889, 425886]",45.00000000000107,45,13.092267300000003
9,"[425956, 425955, 425954, 425953, 425950, 425948, 425943, 425941, 425940, 425936, 425933, 425932, 425931, 425929, 425928, 425927, 425926, 425925, 425924, 425921, 425920, 425918, 425917, 425915, 425913, 425912, 425911, 425910, 425909, 425908, 425906, 425905, 425904, 425903, 425902, 425901, 425900, 425899, 425897, 425895, 425894, 425893, 425890, 425889, 425886, 425885, 425881, 425880, 425879, 425878]",49.9999999999993,50,15.545601300000015
