,S,average cover size,k,run time
0,"[75887, 75886, 75885, 75884, 75883]",5.0269999999999175,5,3.9104153000000004
1,"[75887, 75886, 75885, 75884, 75883, 75882, 75881, 75880, 75879, 75878]",10.021999999999835,10,3.6071623000000006
2,"[75887, 75886, 75885, 75884, 75883, 75882, 75881, 75880, 75879, 75878, 75877, 75876, 75875, 75874, 75873]",15.04000000000018,15,3.9998024
3,"[75887, 75886, 75885, 75884, 75883, 75882, 75881, 75880, 75879, 75878, 75877, 75876, 75875, 75874, 75873, 75872, 75871, 75870, 75869, 75868]",20.037999999999695,20,3.607567699999997
4,"[75887, 75886, 75885, 75884, 75883, 75882, 75881, 75880, 75879, 75878, 75877, 75876, 75875, 75874, 75873, 75872, 75871, 75870, 75869, 75868, 75867, 75866, 75865, 75864, 75863]",25.044999999999654,25,3.841790500000002
5,"[75887, 75886, 75885, 75884, 75883, 75882, 75881, 75880, 75879, 75878, 75877, 75876, 75875, 75874, 75873, 75872, 75871, 75870, 75869, 75868, 75867, 75866, 75865, 75864, 75863, 75862, 75861, 75860, 75859, 75858]",30.044000000000345,30,3.597527900000003
6,"[75887, 75886, 75885, 75884, 75883, 75882, 75881, 75880, 75879, 75878, 75877, 75876, 75875, 75874, 75873, 75872, 75871, 75870, 75869, 75868, 75867, 75866, 75865, 75864, 75863, 75862, 75861, 75860, 75859, 75858, 75857, 75856, 75855, 75854, 75853]",35.04599999999987,35,4.290153400000001
7,"[75887, 75886, 75885, 75884, 75883, 75882, 75881, 75880, 75879, 75878, 75877, 75876, 75875, 75874, 75873, 75872, 75871, 75870, 75869, 75868, 75867, 75866, 75865, 75864, 75863, 75862, 75861, 75860, 75859, 75858, 75857, 75856, 75855, 75854, 75853, 75852, 75851, 75850, 75849, 75848]",40.03299999999935,40,3.727220900000006
8,"[75887, 75886, 75885, 75884, 75883, 75882, 75881, 75880, 75879, 75878, 75877, 75876, 75875, 75874, 75873, 75872, 75871, 75870, 75869, 75868, 75867, 75866, 75865, 75864, 75863, 75862, 75861, 75860, 75859, 75858, 75857, 75856, 75855, 75854, 75853, 75852, 75851, 75850, 75849, 75848, 75847, 75846, 75845, 75844, 75843]",45.07200000000096,45,4.416956399999997
9,"[75887, 75886, 75885, 75884, 75883, 75882, 75881, 75880, 75879, 75878, 75877, 75876, 75875, 75874, 75873, 75872, 75871, 75870, 75869, 75868, 75867, 75866, 75865, 75864, 75863, 75862, 75861, 75860, 75859, 75858, 75857, 75856, 75855, 75854, 75853, 75852, 75851, 75850, 75849, 75848, 75847, 75846, 75845, 75844, 75843, 75842, 75841, 75840, 75839, 75838]",50.05999999999933,50,3.778482600000004
