,S,average cover size,k,run time
0,"[15232, 15231, 15230, 15229, 15228]",4.999999999999916,5,0.5408409999999995
1,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223]",10.008999999999832,10,0.5009744999999999
2,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218]",15.011000000000188,15,0.5639859000000005
3,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213]",20.025999999999684,20,0.49226049999999955
4,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208]",25.033999999999644,25,0.5531701999999994
5,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208, 15207, 15206, 15205, 15204, 15203]",30.04900000000033,30,0.5370727999999989
6,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208, 15207, 15206, 15205, 15204, 15203, 15202, 15201, 15200, 15199, 15198]",35.05599999999986,35,0.5071481000000002
7,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208, 15207, 15206, 15205, 15204, 15203, 15202, 15201, 15200, 15199, 15198, 15197, 15196, 15195, 15194, 15193]",40.06399999999936,40,0.48764189999999985
8,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208, 15207, 15206, 15205, 15204, 15203, 15202, 15201, 15200, 15199, 15198, 15197, 15196, 15195, 15194, 15193, 15192, 15191, 15190, 15189, 15188]",45.08200000000093,45,0.6000674999999998
9,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208, 15207, 15206, 15205, 15204, 15203, 15202, 15201, 15200, 15199, 15198, 15197, 15196, 15195, 15194, 15193, 15192, 15191, 15190, 15189, 15188, 15187, 15186, 15185, 15184, 15183]",50.08799999999937,50,0.5145952000000005
