,S,average cover size,k,run time
0,[15232],1.018599999999905,1,0.2811894416809082
1,"[15232, 15231]",2.0186999999998116,2,0.2861826419830322
2,"[15232, 15231, 15230]",3.0000000000004805,3,0.29117608070373535
3,"[15232, 15231, 15230, 15229]",4.035999999999656,4,0.2941610813140869
4,"[15232, 15231, 15230, 15229, 15228]",5.055099999999936,5,0.29515862464904785
5,"[15232, 15231, 15230, 15229, 15228, 15227]",6.058600000000973,6,0.2981538772583008
6,"[15232, 15231, 15230, 15229, 15228, 15227, 15226]",7.064300000000845,7,0.30014777183532715
7,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225]",8.053799999999221,8,0.30313992500305176
8,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224]",9.080999999998538,9,0.30613207817077637
9,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223]",10.078499999999808,10,0.3081672191619873
10,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222]",11.08719999999865,11,0.31016111373901367
11,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221]",12.076300000001885,12,0.31215333938598633
12,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220]",13.113900000001157,13,0.3141512870788574
13,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219]",14.119900000001728,14,0.31615257263183594
14,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218]",15.109000000000304,15,0.31710243225097656
15,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217]",16.134199999998312,16,0.32009434700012207
16,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216]",17.145699999996943,17,0.3230869770050049
17,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215]",18.182699999996633,18,0.32507920265197754
18,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214]",19.202299999995816,19,0.32807016372680664
19,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213]",20.22149999999967,20,0.33110761642456055
20,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212]",21.221699999998975,21,0.33609509468078613
21,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211]",22.260199999998342,22,0.34008073806762695
22,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210]",23.273400000004827,23,0.3410811424255371
23,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209]",24.28400000000375,24,0.34307289123535156
24,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208]",25.286700000003368,25,0.3460264205932617
25,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208, 15207]",26.282800000002823,26,0.34702110290527344
