,k,run time,average cover size,S
0,1,0.10548700000000011,1.0139999999999993,[15232]
1,2,0.11610370000000003,2.0249999999999972,"[15232, 15231]"
2,3,0.12640269999999987,3.0000000000000027,"[15232, 15231, 15230]"
3,4,0.14208720000000064,4.035999999999996,"[15232, 15231, 15230, 15229]"
4,5,0.16184300000000107,5.041999999999919,"[15232, 15231, 15230, 15229, 15228]"
5,6,0.18711690000000125,6.050000000000004,"[15232, 15231, 15230, 15229, 15228, 15227]"
6,7,0.21149660000000026,7.067999999999887,"[15232, 15231, 15230, 15229, 15228, 15227, 15226]"
7,8,0.23588529999999963,8.050000000000006,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225]"
8,9,0.26589230000000086,9.089000000000128,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224]"
9,10,0.30033200000000093,10.075999999999839,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223]"
10,11,0.3520374000000004,11.08399999999985,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222]"
11,12,0.3948418,12.08600000000001,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221]"
12,13,0.4342164999999998,13.117999999999899,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220]"
13,14,0.4826701,14.106999999999793,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219]"
14,15,0.5323331000000007,15.102000000000173,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218]"
15,16,0.5849222000000012,16.145999999999976,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217]"
16,17,0.6365732000000008,17.152999999999857,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216]"
17,18,0.6938049,18.188000000000248,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215]"
18,19,0.7575573000000002,19.184999999999793,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214]"
19,20,0.8273355999999996,20.20599999999978,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213]"
20,21,0.9031500999999995,21.208000000000332,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212]"
21,22,0.9861068,22.236999999999718,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211]"
22,23,1.0725621000000007,23.258999999999777,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210]"
23,24,1.1560214000000002,24.278999999999954,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209]"
24,25,1.2580147000000004,25.263999999999697,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208]"
25,26,1.3523589000000005,26.253999999999884,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208, 15207]"
26,27,1.4505783,27.296000000000053,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208, 15207, 15206]"
27,28,1.5582501999999998,28.274999999999604,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208, 15207, 15206, 15205]"
28,29,1.6701978999999998,29.30099999999999,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208, 15207, 15206, 15205, 15204]"
29,30,1.7798964999999995,30.25200000000024,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208, 15207, 15206, 15205, 15204, 15203]"
30,31,1.8930492,31.29599999999966,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208, 15207, 15206, 15205, 15204, 15203, 15202]"
31,32,2.0083918,32.313000000000095,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208, 15207, 15206, 15205, 15204, 15203, 15202, 15201]"
32,33,2.1208662,33.28800000000035,"[15232, 15231, 15230, 15229, 15228, 15227, 15226, 15225, 15224, 15223, 15222, 15221, 15220, 15219, 15218, 15217, 15216, 15215, 15214, 15213, 15212, 15211, 15210, 15209, 15208, 15207, 15206, 15205, 15204, 15203, 15202, 15201, 15200]"
