,S,average cover size,k,run time
0,[1441],1.737999999999972,1,0.025480700000000134
1,"[1441, 19615]",3.4649999999999697,2,0.07679399999999958
2,"[1441, 19615, 63113]",5.202999999999956,3,0.023840500000000375
3,"[1441, 19615, 63113, 30744]",6.939999999999952,4,0.02319899999999997
4,"[1441, 19615, 63113, 30744, 16164]",8.387999999999966,5,0.02204240000000013
5,"[1441, 19615, 63113, 30744, 16164, 59077]",10.071999999999946,6,0.024082599999999843
6,"[1441, 19615, 63113, 30744, 16164, 59077, 23420]",11.599999999999929,7,0.022776099999999744
7,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973]",13.049999999999917,8,0.02269539999999992
8,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262]",14.899999999999952,9,0.026299800000000317
9,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648]",16.162999999999975,10,0.022925200000000423
10,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742]",17.736999999999952,11,0.06988710000000076
11,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517]",19.376999999999978,12,0.028757499999999325
12,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160]",20.997999999999895,13,0.027617100000000505
13,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394]",22.24299999999993,14,0.023694300000000723
14,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227]",23.774999999999878,15,0.02164609999999989
15,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512]",25.209999999999905,16,0.02193819999999924
16,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785]",26.79999999999987,17,0.022119299999999953
17,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135]",28.133999999999936,18,0.02260180000000034
18,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085]",29.683999999999966,19,0.02276890000000087
19,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192]",31.176000000000002,20,0.030186199999999275
20,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587]",32.37000000000003,21,0.07643810000000073
21,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226]",33.733000000000025,22,0.027918100000000834
22,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570]",35.170999999999964,23,0.023627000000001175
23,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394]",36.37699999999999,24,0.024803999999999604
24,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394, 6142]",38.08899999999993,25,0.02298409999999862
