,S,average cover size,k,run time
0,[1441],1.688999999999971,1,0.022771500000000167
1,"[1441, 19615]",3.4609999999999683,2,0.020414299999999663
2,"[1441, 19615, 63113]",5.203999999999955,3,0.02152889999999985
3,"[1441, 19615, 63113, 30744]",6.809999999999945,4,0.020280200000000193
4,"[1441, 19615, 63113, 30744, 16164]",8.428999999999979,5,0.05896899999999938
5,"[1441, 19615, 63113, 30744, 16164, 59077]",9.967999999999918,6,0.026004999999999612
6,"[1441, 19615, 63113, 30744, 16164, 59077, 23420]",11.668999999999938,7,0.01991220000000027
7,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973]",13.064999999999914,8,0.021298999999999957
8,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262]",14.681999999999958,9,0.020061700000000293
9,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648]",16.19999999999998,10,0.019869100000000195
10,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742]",17.835999999999995,11,0.02572490000000016
11,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517]",19.487999999999907,12,0.027809399999999762
12,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160]",20.86699999999989,13,0.019842999999999833
13,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394]",22.351999999999897,14,0.05504570000000086
14,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227]",23.604999999999873,15,0.01951380000000036
15,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512]",25.373999999999896,16,0.01975340000000081
16,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785]",26.736999999999924,17,0.019665400000000943
17,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135]",28.211999999999946,18,0.03024339999999981
18,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085]",29.843999999999934,19,0.01998259999999874
19,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192]",30.999000000000013,20,0.019993499999999997
20,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587]",32.498000000000005,21,0.020692499999999114
21,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226]",33.84800000000001,22,0.028339600000000686
22,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570]",35.18299999999996,23,0.019644600000001233
23,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394]",36.76199999999998,24,0.06170439999999999
24,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394, 6142]",37.890000000000015,25,0.020508200000000087
25,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394, 6142, 46139]",39.511999999999915,26,0.019517999999999702
26,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394, 6142, 46139, 60926]",41.062999999999896,27,0.019877199999999817
27,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394, 6142, 46139, 60926, 11403]",42.26999999999989,28,0.019494100000002845
28,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394, 6142, 46139, 60926, 11403, 33715]",43.562999999999946,29,0.01952479999999923
29,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394, 6142, 46139, 60926, 11403, 33715, 29595]",45.31399999999983,30,0.019749699999998427
30,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394, 6142, 46139, 60926, 11403, 33715, 29595, 36860]",46.262999999999835,31,0.025494800000000595
31,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394, 6142, 46139, 60926, 11403, 33715, 29595, 36860, 29715]",47.719999999999736,32,0.027586600000002903
32,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394, 6142, 46139, 60926, 11403, 33715, 29595, 36860, 29715, 17370]",49.10799999999983,33,0.06048990000000032
33,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394, 6142, 46139, 60926, 11403, 33715, 29595, 36860, 29715, 17370, 50568]",50.66399999999976,34,0.025590700000002187
34,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394, 6142, 46139, 60926, 11403, 33715, 29595, 36860, 29715, 17370, 50568, 17289]",51.760999999999704,35,0.022001400000000615
35,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394, 6142, 46139, 60926, 11403, 33715, 29595, 36860, 29715, 17370, 50568, 17289, 5138]",53.34999999999974,36,0.019315399999999983
36,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394, 6142, 46139, 60926, 11403, 33715, 29595, 36860, 29715, 17370, 50568, 17289, 5138, 14017]",54.810999999999844,37,0.025267100000000653
37,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394, 6142, 46139, 60926, 11403, 33715, 29595, 36860, 29715, 17370, 50568, 17289, 5138, 14017, 57878]",55.85399999999984,38,0.023323000000001315
38,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 44262, 13648, 61742, 40517, 30160, 20394, 62227, 33512, 54785, 66135, 39085, 48192, 27587, 43226, 48570, 24394, 6142, 46139, 60926, 11403, 33715, 29595, 36860, 29715, 17370, 50568, 17289, 5138, 14017, 57878, 59471]",57.22899999999985,39,0.019767300000001597
