,k,run time,average cover size,S
0,1,0.11765770000000009,8.257999999999956,[131]
1,2,0.14718510000000018,8.958999999999959,"[131, 200]"
2,3,0.1097134999999998,13.859999999999935,"[131, 200, 639]"
3,4,0.10947870000000037,15.406999999999936,"[131, 200, 639, 326]"
4,5,0.10279140000000009,20.670999999999935,"[131, 200, 639, 326, 287]"
5,6,0.10361219999999971,23.711999999999925,"[131, 200, 639, 326, 287, 608]"
6,7,0.11883290000000013,27.862999999999943,"[131, 200, 639, 326, 287, 608, 267]"
7,8,0.11700010000000027,31.542999999999992,"[131, 200, 639, 326, 287, 608, 267, 100]"
8,9,0.15503409999999995,31.903999999999996,"[131, 200, 639, 326, 287, 608, 267, 100, 744]"
9,10,0.1033533999999996,33.341000000000015,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474]"
10,11,0.10302820000000068,35.73899999999998,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266]"
11,12,0.10706880000000041,39.22099999999995,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559]"
12,13,0.11205299999999951,40.4329999999999,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638]"
13,14,0.1089802000000013,42.511999999999894,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624]"
14,15,0.15743559999999945,44.536999999999814,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553]"
15,16,0.10114910000000066,45.72099999999984,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547]"
16,17,0.12745709999999733,48.26699999999983,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292]"
17,18,0.10771679999999861,51.49199999999974,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124]"
18,19,0.10698089999999993,54.40199999999986,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359]"
19,20,0.10393609999999853,55.93499999999986,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705]"
20,21,0.14770719999999926,58.424999999999905,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562]"
21,22,0.1170644999999979,60.42000000000004,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66]"
22,23,0.10407699999999664,63.50099999999996,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80]"
23,24,0.10829259999999863,66.16600000000008,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76]"
24,25,0.1232421000000059,67.86100000000008,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512]"
25,26,0.10288140000000112,70.40899999999996,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236]"
26,27,0.10295050000000572,73.53000000000007,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274]"
27,28,0.1356028000000009,75.81799999999988,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606]"
28,29,0.1082958000000005,77.89799999999984,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606, 535]"
29,30,0.11082620000000531,80.62299999999988,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606, 535, 646]"
30,31,0.11138300000000356,83.3539999999999,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606, 535, 646, 3683]"
31,32,0.10567259999999123,85.41699999999987,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606, 535, 646, 3683, 247]"
32,33,0.10826300000000799,88.02599999999988,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606, 535, 646, 3683, 247, 412]"
33,34,0.14991489999999885,89.53199999999974,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606, 535, 646, 3683, 247, 412, 1775]"
34,35,0.1017405999999994,91.60799999999962,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606, 535, 646, 3683, 247, 412, 1775, 27]"
35,36,0.1077341999999959,94.39399999999974,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606, 535, 646, 3683, 247, 412, 1775, 27, 8]"
36,37,0.10007330000000536,96.01799999999956,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606, 535, 646, 3683, 247, 412, 1775, 27, 8, 99]"
37,38,0.12274080000000254,98.87599999999959,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606, 535, 646, 3683, 247, 412, 1775, 27, 8, 99, 15]"
38,39,0.10799350000000629,100.8369999999995,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606, 535, 646, 3683, 247, 412, 1775, 27, 8, 99, 15, 1162]"
39,40,0.1398754000000082,102.9559999999996,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606, 535, 646, 3683, 247, 412, 1775, 27, 8, 99, 15, 1162, 133]"
40,41,0.10446540000000937,105.21699999999967,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606, 535, 646, 3683, 247, 412, 1775, 27, 8, 99, 15, 1162, 133, 196]"
41,42,0.10797719999999345,107.32699999999959,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606, 535, 646, 3683, 247, 412, 1775, 27, 8, 99, 15, 1162, 133, 196, 145]"
42,43,0.10616600000000176,108.2039999999996,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606, 535, 646, 3683, 247, 412, 1775, 27, 8, 99, 15, 1162, 133, 196, 145, 1738]"
43,44,0.10661669999998935,110.30599999999953,"[131, 200, 639, 326, 287, 608, 267, 100, 744, 474, 266, 559, 638, 624, 553, 547, 1292, 124, 359, 705, 562, 66, 80, 76, 512, 236, 274, 606, 535, 646, 3683, 247, 412, 1775, 27, 8, 99, 15, 1162, 133, 196, 145, 1738, 4824]"
