,k,run time,average cover size,S
0,1,0.47186130000000004,8.358999999999943,[4840]
1,2,0.4142476000000004,38.72599999999994,"[4840, 17544]"
2,3,0.4683357000000008,69.585,"[4840, 17544, 25609]"
3,4,0.4202108000000013,74.557,"[4840, 17544, 25609, 3333]"
4,5,0.4176585999999993,81.84599999999993,"[4840, 17544, 25609, 3333, 23571]"
5,6,0.48409619999999975,84.54099999999997,"[4840, 17544, 25609, 3333, 23571, 25580]"
6,7,0.4103825999999984,92.21999999999989,"[4840, 17544, 25609, 3333, 23571, 25580, 5567]"
7,8,0.49667449999999747,102.48999999999985,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515]"
8,9,0.4487682000000035,109.23999999999981,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551]"
9,10,0.4082532000000043,112.8659999999998,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460]"
10,11,0.458890199999999,124.44400000000005,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866]"
11,12,0.44935129999998935,132.83600000000038,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866, 15758]"
12,13,0.4799711000000002,149.40400000000005,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866, 15758, 11907]"
13,14,0.4570372999999961,154.5789999999999,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866, 15758, 11907, 12081]"
14,15,0.43415349999997943,159.34899999999993,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866, 15758, 11907, 12081, 12650]"
15,16,0.5067970000000059,162.51799999999997,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866, 15758, 11907, 12081, 12650, 13439]"
16,17,0.4396820000000048,169.41200000000023,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866, 15758, 11907, 12081, 12650, 13439, 22777]"
17,18,0.4643231999999955,169.755,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866, 15758, 11907, 12081, 12650, 13439, 22777, 14081]"
18,19,0.4269476000000054,173.66100000000017,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866, 15758, 11907, 12081, 12650, 13439, 22777, 14081, 22764]"
19,20,0.41416270000001987,177.1279999999997,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866, 15758, 11907, 12081, 12650, 13439, 22777, 14081, 22764, 22765]"
20,21,0.5260776999999734,177.37299999999988,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866, 15758, 11907, 12081, 12650, 13439, 22777, 14081, 22764, 22765, 22779]"
21,22,0.4310075999999867,180.8139999999999,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866, 15758, 11907, 12081, 12650, 13439, 22777, 14081, 22764, 22765, 22779, 22795]"
22,23,0.45907319999997753,187.65699999999987,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866, 15758, 11907, 12081, 12650, 13439, 22777, 14081, 22764, 22765, 22779, 22795, 1723]"
23,24,0.4079921000000013,193.933,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866, 15758, 11907, 12081, 12650, 13439, 22777, 14081, 22764, 22765, 22779, 22795, 1723, 7387]"
24,25,0.41299549999996543,199.40999999999994,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866, 15758, 11907, 12081, 12650, 13439, 22777, 14081, 22764, 22765, 22779, 22795, 1723, 7387, 17529]"
25,26,0.4696485999999709,207.14200000000014,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866, 15758, 11907, 12081, 12650, 13439, 22777, 14081, 22764, 22765, 22779, 22795, 1723, 7387, 17529, 13566]"
26,27,0.4085256999999842,207.04899999999998,"[4840, 17544, 25609, 3333, 23571, 25580, 5567, 8515, 5551, 3460, 14866, 15758, 11907, 12081, 12650, 13439, 22777, 14081, 22764, 22765, 22779, 22795, 1723, 7387, 17529, 13566, 969]"
