,k,run time,average cover size,S
0,1,51.520440900000004,493.90300000000036,[38868]
1,2,163.99004309999998,510.30400000000054,"[38868, 45479]"
2,3,280.6207111,722.9869999999994,"[38868, 45479, 72210]"
3,4,468.3020754,717.7489999999989,"[38868, 45479, 72210, 116246]"
4,5,650.6715287000001,744.6239999999993,"[38868, 45479, 72210, 116246, 31470]"
5,6,842.4348824000001,740.5739999999996,"[38868, 45479, 72210, 116246, 31470, 40108]"
6,7,1037.9845937999999,738.1850000000001,"[38868, 45479, 72210, 116246, 31470, 40108, 174700]"
7,8,1227.8792953,731.8209999999991,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740]"
8,9,1414.9323557999999,741.6130000000002,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815]"
9,10,1609.9942821,733.2149999999993,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059]"
10,11,1804.3943504,735.9669999999995,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024]"
11,12,2002.2360764999999,730.0510000000003,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841]"
12,13,2191.4687824000002,739.6369999999997,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143]"
13,14,2381.7071427,730.1659999999999,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503]"
14,15,2570.2369719000003,728.3059999999997,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552]"
15,16,2755.3616715000003,737.2899999999998,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457]"
16,17,2944.2397092,726.8030000000011,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023]"
17,18,3129.2605667000003,727.9299999999997,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302]"
18,19,3312.8528091000003,727.2079999999995,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173]"
19,20,3499.0628314,736.7040000000002,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012]"
20,21,3687.5196328,727.7529999999999,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323]"
21,22,3872.7964824,751.757,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533]"
22,23,4070.2983913000003,737.5160000000004,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018]"
23,24,4258.6330096,726.0430000000005,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021]"
24,25,4443.0520597,746.7929999999993,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020]"
25,26,4636.4577193000005,736.5010000000002,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050]"
26,27,4828.5662946,741.6419999999996,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305]"
27,28,5026.1249092,727.8210000000007,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309]"
28,29,5216.7099527,741.7020000000005,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255]"
29,30,5409.2009006,735.3900000000008,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255, 4496]"
30,31,5598.6385995,733.7690000000013,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255, 4496, 121117]"
31,32,5787.1968277000005,731.6489999999994,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255, 4496, 121117, 261762]"
32,33,5973.9196962000005,732.367,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255, 4496, 121117, 261762, 121742]"
33,34,6163.9091153,728.9489999999996,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255, 4496, 121117, 261762, 121742, 70089]"
34,35,6353.7962911,720.4540000000005,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255, 4496, 121117, 261762, 121742, 70089, 162943]"
35,36,6539.0083652,738.5729999999987,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255, 4496, 121117, 261762, 121742, 70089, 162943, 252697]"
36,37,6730.7537797,742.9899999999999,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255, 4496, 121117, 261762, 121742, 70089, 162943, 252697, 115457]"
37,38,6922.6615008,736.9720000000008,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255, 4496, 121117, 261762, 121742, 70089, 162943, 252697, 115457, 286355]"
38,39,7111.7713083,725.2069999999992,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255, 4496, 121117, 261762, 121742, 70089, 162943, 252697, 115457, 286355, 192103]"
39,40,7295.5878664,725.8130000000002,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255, 4496, 121117, 261762, 121742, 70089, 162943, 252697, 115457, 286355, 192103, 115586]"
40,41,7478.9047549,731.4479999999996,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255, 4496, 121117, 261762, 121742, 70089, 162943, 252697, 115457, 286355, 192103, 115586, 225902]"
41,42,7663.6630913,735.5540000000005,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255, 4496, 121117, 261762, 121742, 70089, 162943, 252697, 115457, 286355, 192103, 115586, 225902, 89910]"
42,43,7852.3210657,742.2009999999998,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255, 4496, 121117, 261762, 121742, 70089, 162943, 252697, 115457, 286355, 192103, 115586, 225902, 89910, 270519]"
43,44,8043.3860467,731.9980000000004,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255, 4496, 121117, 261762, 121742, 70089, 162943, 252697, 115457, 286355, 192103, 115586, 225902, 89910, 270519, 286307]"
44,45,8230.946392099999,728.6950000000005,"[38868, 45479, 72210, 116246, 31470, 40108, 174700, 131740, 30815, 199059, 67024, 141841, 149143, 20503, 272552, 223457, 257023, 238302, 185173, 257012, 76323, 257533, 257018, 257021, 257020, 270050, 286305, 286309, 148255, 4496, 121117, 261762, 121742, 70089, 162943, 252697, 115457, 286355, 192103, 115586, 225902, 89910, 270519, 286307, 286318]"
