,k,run time,average cover size,S
0,1,0.7982635999999999,8.190999999999946,[131]
1,2,1.0740759999999998,8.889999999999958,"[131, 200]"
2,3,1.3715904,14.183999999999958,"[131, 200, 639]"
3,4,1.8344132999999996,19.45699999999992,"[131, 200, 639, 287]"
4,5,2.5359996999999996,20.644999999999936,"[131, 200, 639, 287, 326]"
5,6,3.2907171999999996,23.641999999999914,"[131, 200, 639, 287, 326, 608]"
6,7,4.1092981,27.633999999999943,"[131, 200, 639, 287, 326, 608, 100]"
7,8,5.1350878,29.545999999999925,"[131, 200, 639, 287, 326, 608, 100, 474]"
8,9,6.2850038,33.18700000000001,"[131, 200, 639, 287, 326, 608, 100, 474, 267]"
9,10,7.627115399999999,35.58399999999997,"[131, 200, 639, 287, 326, 608, 100, 474, 267, 266]"
10,11,9.0707229,37.230999999999995,"[131, 200, 639, 287, 326, 608, 100, 474, 267, 266, 624]"
11,12,10.5225403,37.821999999999974,"[131, 200, 639, 287, 326, 608, 100, 474, 267, 266, 624, 744]"
12,13,12.1105407,40.08599999999993,"[131, 200, 639, 287, 326, 608, 100, 474, 267, 266, 624, 744, 705]"
13,14,13.7197538,42.16899999999986,"[131, 200, 639, 287, 326, 608, 100, 474, 267, 266, 624, 744, 705, 553]"
14,15,15.366117899999999,45.39199999999983,"[131, 200, 639, 287, 326, 608, 100, 474, 267, 266, 624, 744, 705, 553, 559]"
15,16,17.1438386,45.960999999999814,"[131, 200, 639, 287, 326, 608, 100, 474, 267, 266, 624, 744, 705, 553, 559, 638]"
16,17,18.9604445,47.238999999999734,"[131, 200, 639, 287, 326, 608, 100, 474, 267, 266, 624, 744, 705, 553, 559, 638, 547]"
17,18,20.8310218,50.0519999999998,"[131, 200, 639, 287, 326, 608, 100, 474, 267, 266, 624, 744, 705, 553, 559, 638, 547, 359]"
18,19,22.9026992,53.37099999999983,"[131, 200, 639, 287, 326, 608, 100, 474, 267, 266, 624, 744, 705, 553, 559, 638, 547, 359, 124]"
19,20,25.0414418,55.81699999999986,"[131, 200, 639, 287, 326, 608, 100, 474, 267, 266, 624, 744, 705, 553, 559, 638, 547, 359, 124, 1292]"
20,21,27.3534377,58.73199999999981,"[131, 200, 639, 287, 326, 608, 100, 474, 267, 266, 624, 744, 705, 553, 559, 638, 547, 359, 124, 1292, 80]"
21,22,29.811215599999997,60.807999999999936,"[131, 200, 639, 287, 326, 608, 100, 474, 267, 266, 624, 744, 705, 553, 559, 638, 547, 359, 124, 1292, 80, 27]"
22,23,32.4171385,63.221999999999916,"[131, 200, 639, 287, 326, 608, 100, 474, 267, 266, 624, 744, 705, 553, 559, 638, 547, 359, 124, 1292, 80, 27, 562]"
23,24,35.2100157,65.32199999999999,"[131, 200, 639, 287, 326, 608, 100, 474, 267, 266, 624, 744, 705, 553, 559, 638, 547, 359, 124, 1292, 80, 27, 562, 99]"
