,k,run time,average cover size,S
0,1,0.026815800000000056,1.9369999999999645,[100]
1,2,0.056889300000000365,3.8179999999999623,"[100, 474]"
2,3,0.03345199999999959,5.996999999999947,"[100, 474, 287]"
3,4,0.026574600000000004,8.58999999999995,"[100, 474, 287, 14]"
4,5,0.02602070000000012,11.114999999999947,"[100, 474, 287, 14, 239]"
5,6,0.03213539999999959,13.696999999999953,"[100, 474, 287, 14, 239, 266]"
6,7,0.025756799999999913,17.03199999999994,"[100, 474, 287, 14, 239, 266, 27]"
7,8,0.03435269999999946,19.97899999999993,"[100, 474, 287, 14, 239, 266, 27, 196]"
8,9,0.05362320000000054,21.455999999999896,"[100, 474, 287, 14, 239, 266, 27, 196, 639]"
9,10,0.037266299999998864,24.987999999999918,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705]"
10,11,0.026326000000004512,28.97499999999994,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80]"
11,12,0.028245099999999468,31.219999999999946,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606]"
12,13,0.025454400000000987,33.12899999999998,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124]"
13,14,0.027438600000010638,35.112999999999964,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124, 221]"
14,15,0.054421800000000076,39.86299999999994,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124, 221, 363]"
15,16,0.027013800000005972,43.83499999999986,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124, 221, 363, 482]"
16,17,0.025266399999992473,48.815999999999896,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124, 221, 363, 482, 9994]"
17,18,0.027403000000006728,52.477999999999966,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124, 221, 363, 482, 9994, 99]"
18,19,0.025418199999990065,56.03499999999988,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124, 221, 363, 482, 9994, 99, 131]"
19,20,0.030868199999986246,58.95099999999995,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124, 221, 363, 482, 9994, 99, 131, 326]"
20,21,0.05715929999999503,62.33499999999994,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124, 221, 363, 482, 9994, 99, 131, 326, 634]"
21,22,0.029286299999995435,64.28099999999995,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124, 221, 363, 482, 9994, 99, 131, 326, 634, 66]"
22,23,0.025427500000006376,69.58400000000013,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124, 221, 363, 482, 9994, 99, 131, 326, 634, 66, 88]"
23,24,0.025769600000018045,72.39300000000004,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124, 221, 363, 482, 9994, 99, 131, 326, 634, 66, 88, 267]"
24,25,0.027715600000021823,76.45199999999997,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124, 221, 363, 482, 9994, 99, 131, 326, 634, 66, 88, 267, 525]"
25,26,0.026920599999982642,78.89499999999995,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124, 221, 363, 482, 9994, 99, 131, 326, 634, 66, 88, 267, 525, 624]"
26,27,0.02557670000004464,81.2999999999999,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124, 221, 363, 482, 9994, 99, 131, 326, 634, 66, 88, 267, 525, 624, 1162]"
27,28,0.054886299999964194,85.17999999999988,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124, 221, 363, 482, 9994, 99, 131, 326, 634, 66, 88, 267, 525, 624, 1162, 15]"
28,29,0.03109570000003714,87.4419999999998,"[100, 474, 287, 14, 239, 266, 27, 196, 639, 705, 80, 606, 124, 221, 363, 482, 9994, 99, 131, 326, 634, 66, 88, 267, 525, 624, 1162, 15, 328]"
