,S,average cover size,k,run time
0,[1441],1.7094,1,0.036924599999998975
1,"[1441, 19615]",3.4611,2,0.03713079999999991
2,"[1441, 19615, 63113]",5.1575,3,0.037348200000000276
3,"[1441, 19615, 63113, 30744]",6.8391,4,0.037551699999999855
4,"[1441, 19615, 63113, 30744, 23420]",8.4604,5,0.037760399999999805
5,"[1441, 19615, 63113, 30744, 23420, 44262]",9.9842,6,0.037955799999998874
6,"[1441, 19615, 63113, 30744, 23420, 44262, 59077]",11.6468,7,0.03814539999999944
7,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973]",13.2358,8,0.03833489999999884
8,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160]",14.7687,9,0.038529600000000386
9,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517]",16.276,10,0.03870459999999909
10,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742]",17.842,11,0.038911999999999836
11,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512]",19.398,12,0.039102599999999654
12,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085]",20.9946,13,0.039272499999999155
13,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164]",22.4376,14,0.03948600000000013
14,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648]",24.0245,15,0.039690000000000225
15,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142]",25.4045,16,0.03986379999999912
16,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 60926]",26.9632,17,0.04003219999999885
17,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 60926, 46139]",28.3753,18,0.04021799999999942
18,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 60926, 46139, 17370]",29.9143,19,0.04039689999999929
19,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 60926, 46139, 17370, 29715]",31.3964,20,0.04055190000000053
