,S,average cover size,k,run time
0,[107],70.7124,1,0.01547779999999932
1,"[107, 1684]",86.9629,2,0.01787249999999929
2,"[107, 1684, 1912]",225.601,3,0.01981469999999952
3,"[107, 1684, 1912, 3437]",233.6836,4,0.022756299999999285
4,"[107, 1684, 1912, 3437, 0]",238.3351,5,0.025540599999999358
5,"[107, 1684, 1912, 3437, 0, 2543]",259.7269,6,0.026869599999999494
6,"[107, 1684, 1912, 3437, 0, 2543, 2347]",270.908,7,0.028294599999998837
7,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888]",290.7701,8,0.029621099999999956
8,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800]",301.5813,9,0.030886299999998812
9,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483]",307.1909,10,0.03162859999999945
10,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663]",313.2896,11,0.03218309999999924
11,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266]",317.5262,12,0.03278409999999887
12,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348]",321.6122,13,0.03342159999999872
13,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352]",327.0579,14,0.03394469999999927
14,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985]",329.3537,15,0.034547999999999135
15,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730]",332.4268,16,0.03515679999999932
16,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941]",335.7732,17,0.035734399999999056
17,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233]",336.9482,18,0.03644299999999845
18,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431]",339.6743,19,0.03705420000000004
19,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142]",341.3091,20,0.03772709999999968
20,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199]",343.7981,21,0.03879669999999891
21,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047]",349.315,22,0.04010879999999872
22,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584]",351.1096,23,0.041504099999999156
23,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206]",352.3396,24,0.04269109999999898
24,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218]",352.239,25,0.04411059999999978
25,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768]",354.4986,26,0.045104699999999553
26,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686]",358.169,27,0.046296799999998584
27,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229]",359.1893,28,0.04718589999999878
28,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086]",360.8053,29,0.04806589999999922
29,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384]",365.2528,30,0.04919429999999991
30,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410]",367.1013,31,0.05039809999999889
31,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410, 1589]",368.1589,32,0.05168969999999895
32,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410, 1589, 2111]",371.8694,33,0.052767299999999295
33,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410, 1589, 2111, 2611]",372.864,34,0.05404859999999978
34,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410, 1589, 2111, 2611, 1746]",374.8076,35,0.05584989999999834
35,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410, 1589, 2111, 2611, 1746, 2078]",375.3174,36,0.05663079999999887
36,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410, 1589, 2111, 2611, 1746, 2078, 1827]",376.7037,37,0.057578999999998715
37,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410, 1589, 2111, 2611, 1746, 2078, 1827, 2199]",380.3624,38,0.058460600000000085
38,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410, 1589, 2111, 2611, 1746, 2078, 1827, 2199, 1983]",380.655,39,0.05921759999999843
39,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410, 1589, 2111, 2611, 1746, 2078, 1827, 2199, 1983, 414]",384.7301,40,0.059817799999999366
40,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410, 1589, 2111, 2611, 1746, 2078, 1827, 2199, 1983, 414, 1993]",385.3427,41,0.06066079999999907
41,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410, 1589, 2111, 2611, 1746, 2078, 1827, 2199, 1983, 414, 1993, 1126]",386.3992,42,0.061314999999998676
