,k,run time,average cover size,S
0,1,0.006826600000000127,71.0666,[107]
1,2,0.009262399999999893,86.8577,"[107, 1684]"
2,3,0.011176999999999992,224.805,"[107, 1684, 1912]"
3,4,0.012859499999999802,233.7543,"[107, 1684, 1912, 3437]"
4,5,0.014059299999999997,239.2747,"[107, 1684, 1912, 3437, 0]"
5,6,0.014818599999999904,262.2937,"[107, 1684, 1912, 3437, 0, 2543]"
6,7,0.015606099999999845,270.5264,"[107, 1684, 1912, 3437, 0, 2543, 2347]"
7,8,0.016606700000000085,291.6932,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888]"
8,9,0.01750929999999995,301.8836,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800]"
9,10,0.018190600000000057,306.9195,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483]"
10,11,0.01878119999999983,313.6718,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663]"
11,12,0.019424200000000003,318.2036,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266]"
12,13,0.020009100000000224,322.1051,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348]"
13,14,0.020569300000000013,326.2879,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352]"
14,15,0.021167000000000158,329.2793,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985]"
15,16,0.021738399999999825,332.0792,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730]"
16,17,0.022355300000000078,335.4128,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941]"
17,18,0.022957499999999964,336.6632,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233]"
18,19,0.023525699999999983,340.0217,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431]"
19,20,0.024125399999999964,340.8304,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142]"
20,21,0.02474070000000017,343.8692,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199]"
21,22,0.025359700000000096,347.0816,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047]"
22,23,0.025987799999999783,350.5015,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584]"
23,24,0.026544799999999924,352.0394,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206]"
24,25,0.027220400000000033,352.7772,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218]"
25,26,0.027761899999999784,354.8391,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768]"
26,27,0.028400200000000098,357.9227,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686]"
27,28,0.02901139999999991,358.8965,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229]"
28,29,0.029584799999999856,361.0117,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086]"
29,30,0.030091099999999926,365.6116,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384]"
30,31,0.030671400000000126,366.7928,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410]"
31,32,0.03128999999999982,368.3516,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410, 1589]"
32,33,0.03180810000000012,372.4236,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410, 1589, 2111]"
33,34,0.032347000000000126,372.8527,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410, 1589, 2111, 2611]"
34,35,0.033090000000000064,373.7114,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 1663, 2266, 348, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 1199, 2047, 1584, 2206, 2218, 1768, 686, 2229, 1086, 2384, 2410, 1589, 2111, 2611, 1746]"
