,S,average cover size,k,run time
0,[131],8.230300000000131,1,0.11526710000000051
1,"[131, 639]",13.323999999999852,2,0.11548520000000018
2,"[131, 639, 287]",18.627199999999913,3,0.11570339999999923
3,"[131, 639, 287, 267]",22.446499999999887,4,0.11592959999999941
4,"[131, 639, 287, 267, 608]",25.85620000000012,5,0.11610409999999938
5,"[131, 639, 287, 267, 608, 100]",29.4272000000001,6,0.11625219999999992
6,"[131, 639, 287, 267, 608, 100, 559]",32.670800000000035,7,0.11651640000000008
7,"[131, 639, 287, 267, 608, 100, 559, 124]",35.616099999999854,8,0.1167031000000005
8,"[131, 639, 287, 267, 608, 100, 559, 124, 359]",38.45990000000003,9,0.11698559999999958
9,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66]",41.082099999999876,10,0.11714259999999932
10,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292]",43.92240000000019,11,0.11732109999999984
11,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236]",46.57440000000028,12,0.1174798999999993
12,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80]",49.37940000000043,13,0.11763369999999895
13,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646]",52.2288000000003,14,0.11785079999999937
14,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412]",54.7752000000005,15,0.11800509999999953
15,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76]",57.66850000000067,16,0.11814949999999946
16,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606]",59.87150000000066,17,0.11829269999999958
17,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535]",62.48690000000053,18,0.1185212
18,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8]",65.05270000000034,19,0.11866610000000044
19,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247]",67.8357000000001,20,0.11879249999999963
20,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274]",70.38710000000081,21,0.118948099999999
21,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15]",73.1949999999997,22,0.11913009999999957
22,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683]",75.47289999999994,23,0.11932009999999948
23,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162]",77.85459999999982,24,0.1194513999999991
24,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824]",80.21849999999954,25,0.1196407999999991
25,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196]",82.47289999999931,26,0.11981019999999987
26,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196, 553]",84.77129999999997,27,0.12004059999999939
27,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196, 553, 60]",87.18329999999965,28,0.12021840000000061
28,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196, 553, 60, 512]",89.5598000000003,29,0.12036679999999933
29,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196, 553, 60, 512, 562]",91.90130000000005,30,0.12051289999999959
30,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196, 553, 60, 512, 562, 556]",94.13020000000023,31,0.12069200000000002
31,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196, 553, 60, 512, 562, 556, 239]",96.4306000000003,32,0.12078039999999923
32,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196, 553, 60, 512, 562, 556, 239, 111]",98.39290000000007,33,0.12100709999999992
33,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196, 553, 60, 512, 562, 556, 239, 111, 1890]",100.81120000000013,34,0.12116069999999901
34,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196, 553, 60, 512, 562, 556, 239, 111, 1890, 624]",102.86890000000045,35,0.12127339999999975
35,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196, 553, 60, 512, 562, 556, 239, 111, 1890, 624, 154]",105.26850000000006,36,0.12146199999999929
