,S,average cover size,k,run time
0,[4840],8.298999999999944,1,1.2362995999999988
1,"[4840, 17544]",39.05799999999998,2,1.2378535999999976
2,"[4840, 17544, 25609]",67.516,3,3.0509780000000024
3,"[4840, 17544, 25609, 23571]",74.353,4,13.539326399999997
4,"[4840, 17544, 25609, 23571, 5567]",82.98099999999991,5,36.926722100000006
5,"[4840, 17544, 25609, 23571, 5567, 3333]",89.6199999999999,6,62.1536323
6,"[4840, 17544, 25609, 23571, 5567, 3333, 3460]",95.14399999999983,7,91.2109492
7,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515]",104.53899999999979,8,123.27351530000001
8,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866]",115.81599999999983,9,156.65792400000004
9,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758]",123.11100000000006,10,194.67487250000002
10,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907]",141.03799999999984,11,234.5257023
11,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081]",145.50400000000005,12,280.3413635
12,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081, 1723]",152.44200000000012,13,340.5617006
13,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081, 1723, 25580]",154.6710000000001,14,401.2947709
14,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081, 1723, 25580, 5192]",159.89399999999992,15,470.3298501000001
15,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081, 1723, 25580, 5192, 6342]",165.22699999999998,16,540.0584879
16,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081, 1723, 25580, 5192, 6342, 7132]",169.32200000000006,17,611.4423891
