,S,average cover size,k,run time
0,[38868],13.147,1,9.834777300000002
1,"[38868, 45479]",24.031,2,9.839818400000002
2,"[38868, 45479, 57571]",28.58,3,9.845305200000002
3,"[38868, 45479, 57571, 6737]",31.843,4,9.850413399999997
4,"[38868, 45479, 57571, 6737, 72210]",53.937,5,9.8547927
5,"[38868, 45479, 57571, 6737, 72210, 63861]",57.55,6,9.859858300000003
6,"[38868, 45479, 57571, 6737, 72210, 63861, 96321]",60.604,7,9.864071300000003
7,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884]",65.484,8,9.868394200000001
8,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759]",70.504,9,9.872383600000003
9,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618]",72.733,10,9.8759056
10,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457]",76.986,11,9.879503500000002
11,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451]",83.137,12,9.881916700000001
12,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267]",86.356,13,9.885333200000002
13,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470]",99.594,14,9.887499899999998
14,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126]",102.596,15,9.890821499999998
15,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246]",110.619,16,9.8932124
16,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799]",114.632,17,9.895371999999998
17,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427]",120.212,18,9.897528699999999
18,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911]",123.497,19,9.899860800000003
19,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433]",126.935,20,9.902212299999999
20,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476]",129.629,21,9.904959799999997
21,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760]",136.415,22,9.908271500000001
22,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335]",139.166,23,9.910585799999996
23,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255]",146.227,24,9.912596599999997
24,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074]",147.72,25,9.914621200000003
25,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470]",153.703,26,9.917110499999996
26,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399]",158.163,27,9.919003200000002
27,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711]",159.444,28,9.922595699999999
28,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323]",161.643,29,9.9263571
29,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465]",166.492,30,9.929252299999998
30,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830]",170.539,31,9.932093599999998
31,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015]",171.743,32,9.934891599999997
32,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720]",178.553,33,9.938257199999999
33,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420]",181.404,34,9.942969399999999
34,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420, 8889]",183.52,35,9.9465739
35,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420, 8889, 22625]",187.054,36,9.949948600000003
36,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420, 8889, 22625, 130594]",191.051,37,9.953395500000003
37,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420, 8889, 22625, 130594, 9220]",193.781,38,9.956915499999997
38,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420, 8889, 22625, 130594, 9220, 40108]",201.191,39,9.9602368
39,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420, 8889, 22625, 130594, 9220, 40108, 100741]",203.226,40,9.963771300000001
40,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420, 8889, 22625, 130594, 9220, 40108, 100741, 97670]",206.84,41,9.966933100000002
41,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420, 8889, 22625, 130594, 9220, 40108, 100741, 97670, 5945]",210.386,42,9.969529099999999
42,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420, 8889, 22625, 130594, 9220, 40108, 100741, 97670, 5945, 12110]",213.653,43,9.971296399999996
43,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420, 8889, 22625, 130594, 9220, 40108, 100741, 97670, 5945, 12110, 24947]",215.908,44,9.973110899999998
44,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420, 8889, 22625, 130594, 9220, 40108, 100741, 97670, 5945, 12110, 24947, 41329]",218.068,45,9.9751619
45,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420, 8889, 22625, 130594, 9220, 40108, 100741, 97670, 5945, 12110, 24947, 41329, 97287]",222.169,46,9.9770517
46,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420, 8889, 22625, 130594, 9220, 40108, 100741, 97670, 5945, 12110, 24947, 41329, 97287, 15365]",224.768,47,9.9790843
47,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420, 8889, 22625, 130594, 9220, 40108, 100741, 97670, 5945, 12110, 24947, 41329, 97287, 15365, 46632]",228.899,48,9.981078399999998
48,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420, 8889, 22625, 130594, 9220, 40108, 100741, 97670, 5945, 12110, 24947, 41329, 97287, 15365, 46632, 47438]",234.113,49,9.982830599999996
49,"[38868, 45479, 57571, 6737, 72210, 63861, 96321, 13884, 21759, 98618, 11457, 13451, 19267, 31470, 33126, 116246, 4799, 7427, 46911, 6433, 69476, 15760, 37335, 148255, 24074, 5470, 180399, 11711, 11323, 7465, 13830, 109015, 65720, 3420, 8889, 22625, 130594, 9220, 40108, 100741, 97670, 5945, 12110, 24947, 41329, 97287, 15365, 46632, 47438, 20503]",237.575,50,9.985111999999997
