,S,average cover size,k,run time
0,[131],8.208,1,0.15558039999999984
1,"[131, 639]",13.333,2,0.15583469999999977
2,"[131, 639, 287]",18.469,3,0.1561236999999993
3,"[131, 639, 287, 267]",22.396,4,0.1564167999999997
4,"[131, 639, 287, 267, 608]",25.765,5,0.1566326999999994
5,"[131, 639, 287, 267, 608, 100]",29.564,6,0.15681229999999946
6,"[131, 639, 287, 267, 608, 100, 559]",32.219,7,0.15719739999999938
7,"[131, 639, 287, 267, 608, 100, 559, 124]",35.884,8,0.15745279999999973
8,"[131, 639, 287, 267, 608, 100, 559, 124, 359]",38.988,9,0.1577503
9,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66]",41.58,10,0.15804919999999978
10,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292]",43.947,11,0.15832069999999998
11,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236]",46.204,12,0.1585523999999996
12,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80]",49.128,13,0.1587790999999994
13,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646]",52.526,14,0.1590908999999998
14,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412]",55.333,15,0.15933139999999923
15,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76]",57.498,16,0.1595127999999999
16,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606]",60.095,17,0.15978319999999968
17,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535]",62.05,18,0.16019499999999987
18,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8]",65.161,19,0.16050640000000005
19,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247]",67.475,20,0.16074769999999994
20,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274]",70.151,21,0.16099779999999964
21,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15]",73.129,22,0.1613251999999994
22,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683]",75.02,23,0.1615492999999999
23,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162]",78.277,24,0.16170729999999978
24,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824]",79.983,25,0.16192219999999935
25,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196]",82.238,26,0.1621264
26,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196, 553]",84.774,27,0.16241849999999936
27,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196, 553, 60]",87.075,28,0.16262299999999996
28,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196, 553, 60, 512]",89.781,29,0.16279619999999984
29,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196, 553, 60, 512, 562]",91.316,30,0.1629636999999997
