,k,run time,average cover size,S
0,1,0.10618280000000091,907.358,[1143]
1,2,0.1069583000000005,905.698,"[1143, 6655]"
2,3,0.10787780000000069,909.777,"[1143, 6655, 6932]"
3,4,0.10830729999999988,905.966,"[1143, 6655, 6932, 6555]"
4,5,0.10881469999999993,909.351,"[1143, 6655, 6932, 6555, 7324]"
5,6,0.1091546999999995,912.866,"[1143, 6655, 6932, 6555, 7324, 5848]"
6,7,0.10951080000000069,913.674,"[1143, 6655, 6932, 6555, 7324, 5848, 7338]"
7,8,0.10988359999999986,916.88,"[1143, 6655, 6932, 6555, 7324, 5848, 7338, 1689]"
8,9,0.11026350000000029,916.259,"[1143, 6655, 6932, 6555, 7324, 5848, 7338, 1689, 7369]"
9,10,0.11064119999999988,919.62,"[1143, 6655, 6932, 6555, 7324, 5848, 7338, 1689, 7369, 604]"
10,11,0.11092020000000069,919.99,"[1143, 6655, 6932, 6555, 7324, 5848, 7338, 1689, 7369, 604, 6486]"
11,12,0.11122040000000055,922.393,"[1143, 6655, 6932, 6555, 7324, 5848, 7338, 1689, 7369, 604, 6486, 6467]"
12,13,0.11154190000000064,919.085,"[1143, 6655, 6932, 6555, 7324, 5848, 7338, 1689, 7369, 604, 6486, 6467, 435]"
13,14,0.11205029999999994,921.519,"[1143, 6655, 6932, 6555, 7324, 5848, 7338, 1689, 7369, 604, 6486, 6467, 435, 6768]"
14,15,0.11232419999999976,923.09,"[1143, 6655, 6932, 6555, 7324, 5848, 7338, 1689, 7369, 604, 6486, 6467, 435, 6768, 4951]"
15,16,0.11263310000000004,926.265,"[1143, 6655, 6932, 6555, 7324, 5848, 7338, 1689, 7369, 604, 6486, 6467, 435, 6768, 4951, 6572]"
16,17,0.11285200000000017,924.611,"[1143, 6655, 6932, 6555, 7324, 5848, 7338, 1689, 7369, 604, 6486, 6467, 435, 6768, 4951, 6572, 4466]"
17,18,0.11311420000000005,926.463,"[1143, 6655, 6932, 6555, 7324, 5848, 7338, 1689, 7369, 604, 6486, 6467, 435, 6768, 4951, 6572, 4466, 5165]"
18,19,0.11334139999999948,930.965,"[1143, 6655, 6932, 6555, 7324, 5848, 7338, 1689, 7369, 604, 6486, 6467, 435, 6768, 4951, 6572, 4466, 5165, 5121]"
19,20,0.11357579999999956,929.746,"[1143, 6655, 6932, 6555, 7324, 5848, 7338, 1689, 7369, 604, 6486, 6467, 435, 6768, 4951, 6572, 4466, 5165, 5121, 7286]"
