,S,average cover size,k,run time
0,[104],263.249,1,0.05905170000000126
1,"[104, 22]",269.168,2,0.06017210000000084
2,"[104, 22, 40]",271.892,3,0.062010700000000085
3,"[104, 22, 40, 232]",276.006,4,0.06290659999999981
4,"[104, 22, 40, 232, 332]",276.738,5,0.06379080000000137
5,"[104, 22, 40, 232, 332, 23]",277.506,6,0.06518580000000007
6,"[104, 22, 40, 232, 332, 23, 75]",279.72,7,0.06641650000000077
7,"[104, 22, 40, 232, 332, 23, 75, 354]",282.644,8,0.06720270000000106
8,"[104, 22, 40, 232, 332, 23, 75, 354, 71]",285.671,9,0.0683170999999998
9,"[104, 22, 40, 232, 332, 23, 75, 354, 71, 195]",287.211,10,0.06931390000000093
10,"[104, 22, 40, 232, 332, 23, 75, 354, 71, 195, 331]",288.107,11,0.07039620000000113
11,"[104, 22, 40, 232, 332, 23, 75, 354, 71, 195, 331, 577]",289.938,12,0.07108030000000021
12,"[104, 22, 40, 232, 332, 23, 75, 354, 71, 195, 331, 577, 51]",292.203,13,0.07209030000000105
13,"[104, 22, 40, 232, 332, 23, 75, 354, 71, 195, 331, 577, 51, 353]",291.058,14,0.07321639999999974
14,"[104, 22, 40, 232, 332, 23, 75, 354, 71, 195, 331, 577, 51, 353, 428]",293.349,15,0.07430520000000129
15,"[104, 22, 40, 232, 332, 23, 75, 354, 71, 195, 331, 577, 51, 353, 428, 48]",293.666,16,0.07487949999999977
16,"[104, 22, 40, 232, 332, 23, 75, 354, 71, 195, 331, 577, 51, 353, 428, 48, 218]",293.42,17,0.07564020000000049
17,"[104, 22, 40, 232, 332, 23, 75, 354, 71, 195, 331, 577, 51, 353, 428, 48, 218, 133]",298.549,18,0.07625119999999974
18,"[104, 22, 40, 232, 332, 23, 75, 354, 71, 195, 331, 577, 51, 353, 428, 48, 218, 133, 587]",300.455,19,0.07731530000000042
19,"[104, 22, 40, 232, 332, 23, 75, 354, 71, 195, 331, 577, 51, 353, 428, 48, 218, 133, 587, 563]",305.898,20,0.07820040000000006
20,"[104, 22, 40, 232, 332, 23, 75, 354, 71, 195, 331, 577, 51, 353, 428, 48, 218, 133, 587, 563, 551]",308.147,21,0.07918800000000026
21,"[104, 22, 40, 232, 332, 23, 75, 354, 71, 195, 331, 577, 51, 353, 428, 48, 218, 133, 587, 563, 551, 13]",307.877,22,0.0799738000000012
22,"[104, 22, 40, 232, 332, 23, 75, 354, 71, 195, 331, 577, 51, 353, 428, 48, 218, 133, 587, 563, 551, 13, 151]",310.445,23,0.08109510000000064
