,k,run time,average cover size,S
0,1,0.007285999999999682,525.6769,[107]
1,2,0.009697999999999762,647.8447,"[107, 1684]"
2,3,0.01327860000000003,869.3476,"[107, 1684, 1912]"
3,4,0.01548029999999967,889.2822,"[107, 1684, 1912, 3437]"
4,5,0.016720099999999682,902.162,"[107, 1684, 1912, 3437, 0]"
5,6,0.01752219999999971,901.9053,"[107, 1684, 1912, 3437, 0, 2543]"
6,7,0.018292499999999823,901.066,"[107, 1684, 1912, 3437, 0, 2543, 2347]"
7,8,0.01935489999999973,902.1943,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888]"
8,9,0.020016899999999893,901.6979,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800]"
9,10,0.02066279999999976,914.545,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483]"
10,11,0.021246799999999677,922.7753,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348]"
11,12,0.021753799999999934,922.8182,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663]"
12,13,0.02233219999999969,923.6168,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266]"
13,14,0.022940699999999925,923.2571,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352]"
14,15,0.023569799999999752,923.2572,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985]"
15,16,0.024162000000000017,922.7897,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730]"
16,17,0.024766099999999902,923.5333,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 1941]"
17,18,0.025451099999999727,922.4411,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 1941, 2233]"
18,19,0.02600990000000003,923.0342,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 1941, 2233, 1431]"
19,20,0.02667509999999984,923.8711,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 1941, 2233, 1431, 2142]"
20,21,0.027396399999999765,924.8736,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 2047]"
21,22,0.02877509999999983,923.1477,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 2047, 1199]"
22,23,0.029968499999999842,931.7922,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 2047, 1199, 686]"
23,24,0.03103419999999968,932.8397,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 2047, 1199, 686, 2218]"
24,25,0.03205109999999989,932.4005,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 1941, 2233, 1431, 2142, 2047, 1199, 686, 2218, 1584]"
