,S,average cover size,k,run time
0,[135],6.8973,1,0.0017220000000008895
1,"[135, 59]",12.322,2,0.002401700000000062
2,"[135, 59, 131]",16.4662,3,0.0031143000000000143
3,"[135, 59, 131, 167]",19.6002,4,0.004247100000000614
4,"[135, 59, 131, 167, 69]",22.2506,5,0.004939100000001417
5,"[135, 59, 131, 167, 69, 148]",25.0065,6,0.005291500000002003
6,"[135, 59, 131, 167, 69, 148, 107]",27.3351,7,0.0059773000000014065
7,"[135, 59, 131, 167, 69, 148, 107, 157]",29.4787,8,0.008005000000000706
8,"[135, 59, 131, 167, 69, 148, 107, 157, 98]",31.5186,9,0.008630800000002381
9,"[135, 59, 131, 167, 69, 148, 107, 157, 98, 95]",33.5993,10,0.009273700000001384
10,"[135, 59, 131, 167, 69, 148, 107, 157, 98, 95, 6]",35.6267,11,0.010044100000001777
11,"[135, 59, 131, 167, 69, 148, 107, 157, 98, 95, 6, 4]",37.4618,12,0.010630600000002488
12,"[135, 59, 131, 167, 69, 148, 107, 157, 98, 95, 6, 4, 134]",39.2368,13,0.01108170000000186
13,"[135, 59, 131, 167, 69, 148, 107, 157, 98, 95, 6, 4, 134, 130]",40.8663,14,0.012327500000001379
14,"[135, 59, 131, 167, 69, 148, 107, 157, 98, 95, 6, 4, 134, 130, 166]",42.7784,15,0.013001700000000227
15,"[135, 59, 131, 167, 69, 148, 107, 157, 98, 95, 6, 4, 134, 130, 166, 191]",44.1657,16,0.01331440000000228
16,"[135, 59, 131, 167, 69, 148, 107, 157, 98, 95, 6, 4, 134, 130, 166, 191, 99]",45.7333,17,0.013947100000002877
17,"[135, 59, 131, 167, 69, 148, 107, 157, 98, 95, 6, 4, 134, 130, 166, 191, 99, 152]",47.3793,18,0.014337000000001154
18,"[135, 59, 131, 167, 69, 148, 107, 157, 98, 95, 6, 4, 134, 130, 166, 191, 99, 152, 195]",48.7307,19,0.015365000000002738
19,"[135, 59, 131, 167, 69, 148, 107, 157, 98, 95, 6, 4, 134, 130, 166, 191, 99, 152, 195, 100]",50.1485,20,0.015751400000002747
20,"[135, 59, 131, 167, 69, 148, 107, 157, 98, 95, 6, 4, 134, 130, 166, 191, 99, 152, 195, 100, 68]",51.3705,21,0.016222300000002576
21,"[135, 59, 131, 167, 69, 148, 107, 157, 98, 95, 6, 4, 134, 130, 166, 191, 99, 152, 195, 100, 68, 171]",52.849,22,0.016619099999999776
22,"[135, 59, 131, 167, 69, 148, 107, 157, 98, 95, 6, 4, 134, 130, 166, 191, 99, 152, 195, 100, 68, 171, 178]",54.0824,23,0.017033100000002577
23,"[135, 59, 131, 167, 69, 148, 107, 157, 98, 95, 6, 4, 134, 130, 166, 191, 99, 152, 195, 100, 68, 171, 178, 52]",55.2938,24,0.017521600000002024
