,k,run time,average cover size,S
0,1,0.5507867000000002,233.89529999999928,[4840]
1,2,0.5515314,486.96790000000027,"[4840, 17544]"
2,3,0.5520261999999998,545.4382000000014,"[4840, 17544, 25609]"
3,4,0.5522022,553.6283000000016,"[4840, 17544, 25609, 23571]"
4,5,0.5524038999999998,567.0714999999996,"[4840, 17544, 25609, 23571, 5567]"
5,6,0.5527928000000002,585.5527000000014,"[4840, 17544, 25609, 23571, 5567, 3460]"
6,7,0.5530582000000002,611.8292999999971,"[4840, 17544, 25609, 23571, 5567, 3460, 14866]"
7,8,0.5534131000000002,642.7424999999995,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758]"
8,9,0.5536924999999999,681.9006999999979,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907]"
9,10,0.5540064999999998,682.0371999999969,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333]"
10,11,0.5544997,682.4756,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515]"
11,12,0.5547654999999998,695.5080999999979,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081]"
12,13,0.5551938999999999,713.3939000000023,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723]"
13,14,0.5556860000000001,728.1213000000008,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192]"
14,15,0.5561338999999998,744.5080999999974,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342]"
15,16,0.5564197000000002,754.3507999999994,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132]"
16,17,0.5566396999999998,763.5778000000005,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120]"
17,18,0.5569557,773.7091000000007,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866]"
18,19,0.5571839999999999,786.6769000000019,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988]"
19,20,0.5574175000000001,800.7680999999968,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356]"
20,21,0.5578056999999998,806.0953999999967,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216]"
21,22,0.5582161999999999,805.8308000000017,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777]"
22,23,0.5585464999999998,812.7095999999964,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970]"
23,24,0.5586560999999999,821.9213000000016,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653]"
24,25,0.5590402000000001,841.4909999999988,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117]"
25,26,0.5592032000000002,839.8539999999998,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580]"
26,27,0.5595712000000002,846.4475999999948,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650]"
27,28,0.5597356000000002,864.2945999999961,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454]"
28,29,0.5598627999999999,866.9926999999959,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454, 17529]"
29,30,0.5601748,867.6728999999985,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454, 17529, 13566]"
30,31,0.5604333000000001,883.456799999995,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454, 17529, 13566, 12332]"
31,32,0.5607142,883.7259999999987,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454, 17529, 13566, 12332, 10509]"
32,33,0.5611562999999999,891.1421000000012,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454, 17529, 13566, 12332, 10509, 1568]"
33,34,0.5617698999999998,890.4210999999998,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454, 17529, 13566, 12332, 10509, 1568, 19774]"
34,35,0.5621805000000002,925.6099999999979,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454, 17529, 13566, 12332, 10509, 1568, 19774, 15347]"
35,36,0.5627255,932.3775000000012,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454, 17529, 13566, 12332, 10509, 1568, 19774, 15347, 3566]"
36,37,0.5631015000000001,940.5384000000009,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454, 17529, 13566, 12332, 10509, 1568, 19774, 15347, 3566, 809]"
37,38,0.5636415000000001,941.6310999999969,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454, 17529, 13566, 12332, 10509, 1568, 19774, 15347, 3566, 809, 5551]"
38,39,0.5641414,944.8316999999995,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454, 17529, 13566, 12332, 10509, 1568, 19774, 15347, 3566, 809, 5551, 26536]"
39,40,0.5647755999999999,949.8885999999994,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454, 17529, 13566, 12332, 10509, 1568, 19774, 15347, 3566, 809, 5551, 26536, 7849]"
40,41,0.5649267,966.1008000000016,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454, 17529, 13566, 12332, 10509, 1568, 19774, 15347, 3566, 809, 5551, 26536, 7849, 1520]"
41,42,0.5656918000000002,970.9386999999967,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454, 17529, 13566, 12332, 10509, 1568, 19774, 15347, 3566, 809, 5551, 26536, 7849, 1520, 2928]"
42,43,0.5659641999999998,970.2680000000031,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454, 17529, 13566, 12332, 10509, 1568, 19774, 15347, 3566, 809, 5551, 26536, 7849, 1520, 2928, 13542]"
43,44,0.5662598000000001,974.2207999999995,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866, 988, 2356, 3216, 22777, 8970, 10653, 25117, 25580, 12650, 11454, 17529, 13566, 12332, 10509, 1568, 19774, 15347, 3566, 809, 5551, 26536, 7849, 1520, 2928, 13542, 9963]"
