,S,average cover size,k,run time
0,[4840],225.65299999999988,1,0.6356908000000008
1,"[4840, 17544]",488.72700000000003,2,0.6365455000000004
2,"[4840, 17544, 25609]",546.7510000000002,3,0.6379423000000006
3,"[4840, 17544, 25609, 23571]",554.2939999999998,4,0.6386839000000002
4,"[4840, 17544, 25609, 23571, 5567]",563.1059999999989,5,0.6395055999999997
5,"[4840, 17544, 25609, 23571, 5567, 3460]",580.1179999999999,6,0.6410672000000002
6,"[4840, 17544, 25609, 23571, 5567, 3460, 14866]",613.1609999999996,7,0.6419180000000004
7,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758]",639.0549999999986,8,0.6433498000000011
8,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907]",688.2840000000007,9,0.6444869999999998
9,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333]",682.2890000000014,10,0.6455218000000009
10,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515]",681.283,11,0.6469421999999998
11,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081]",698.9389999999997,12,0.6481007999999999
12,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723]",717.5930000000001,13,0.6494247000000009
13,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192]",732.6439999999997,14,0.650863300000001
14,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342]",740.9589999999995,15,0.6523377000000004
15,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132]",755.8470000000007,16,0.6536314000000001
16,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120]",763.707,17,0.6545357000000003
17,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 3333, 8515, 12081, 1723, 5192, 6342, 7132, 5120, 1866]",776.3729999999991,18,0.6556205000000013
