,k,run time,average cover size,S
0,1,0.01863159999999997,38.6677,[1143]
1,2,0.019425700000000212,50.7455,"[1143, 6655]"
2,3,0.020163500000000223,58.7392,"[1143, 6655, 6555]"
3,4,0.02050070000000037,63.791,"[1143, 6655, 6555, 6932]"
4,5,0.020807299999999973,71.2879,"[1143, 6655, 6555, 6932, 1689]"
5,6,0.021090100000000334,75.8801,"[1143, 6655, 6555, 6932, 1689, 7324]"
6,7,0.021334100000000245,80.1879,"[1143, 6655, 6555, 6932, 1689, 7324, 6859]"
7,8,0.02161380000000035,90.4875,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848]"
8,9,0.021906300000000378,96.2387,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338]"
9,10,0.02214650000000029,99.6969,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369]"
10,11,0.022345800000000082,104.006,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315]"
11,12,0.02254450000000041,108.873,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604]"
12,13,0.02275260000000001,112.4403,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102]"
13,14,0.022965800000000147,118.3992,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435]"
14,15,0.023156900000000036,122.8548,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155]"
15,16,0.0233576000000002,126.4205,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466]"
16,17,0.023545499999999997,129.2041,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951]"
17,18,0.023813000000000084,132.3453,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951, 6098]"
18,19,0.024052900000000044,135.4897,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951, 6098, 6467]"
19,20,0.02421450000000025,137.3478,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951, 6098, 6467, 6765]"
20,21,0.02440090000000028,140.8708,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951, 6098, 6467, 6765, 6486]"
21,22,0.02456220000000009,145.2425,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951, 6098, 6467, 6765, 6486, 5529]"
22,23,0.0247459000000001,148.624,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951, 6098, 6467, 6765, 6486, 5529, 7286]"
23,24,0.024929800000000224,150.9108,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951, 6098, 6467, 6765, 6486, 5529, 7286, 5121]"
24,25,0.025080700000000178,154.9526,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951, 6098, 6467, 6765, 6486, 5529, 7286, 5121, 6572]"
25,26,0.02524330000000008,158.4679,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951, 6098, 6467, 6765, 6486, 5529, 7286, 5121, 6572, 865]"
26,27,0.025410900000000236,160.289,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951, 6098, 6467, 6765, 6486, 5529, 7286, 5121, 6572, 865, 7129]"
27,28,0.025641600000000153,163.7248,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951, 6098, 6467, 6765, 6486, 5529, 7286, 5121, 6572, 865, 7129, 5345]"
28,29,0.02589060000000032,165.8824,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951, 6098, 6467, 6765, 6486, 5529, 7286, 5121, 6572, 865, 7129, 5345, 5484]"
29,30,0.02605650000000015,169.0722,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951, 6098, 6467, 6765, 6486, 5529, 7286, 5121, 6572, 865, 7129, 5345, 5484, 6768]"
30,31,0.02625540000000015,171.9769,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951, 6098, 6467, 6765, 6486, 5529, 7286, 5121, 6572, 865, 7129, 5345, 5484, 6768, 636]"
31,32,0.02641920000000031,174.0382,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951, 6098, 6467, 6765, 6486, 5529, 7286, 5121, 6572, 865, 7129, 5345, 5484, 6768, 636, 5351]"
32,33,0.026605900000000293,177.1483,"[1143, 6655, 6555, 6932, 1689, 7324, 6859, 5848, 7338, 7369, 7315, 604, 7102, 435, 7155, 4466, 4951, 6098, 6467, 6765, 6486, 5529, 7286, 5121, 6572, 865, 7129, 5345, 5484, 6768, 636, 5351, 6755]"
