,k,run time,average cover size,S
0,1,0.7041331,1471.665,[4840]
1,2,0.7048615999999992,1556.267,"[4840, 17544]"
2,3,0.7053474,1562.043,"[4840, 17544, 25609]"
3,4,0.7055911999999998,1563.608,"[4840, 17544, 25609, 23571]"
4,5,0.7058765999999999,1572.993,"[4840, 17544, 25609, 23571, 5567]"
5,6,0.7064059,1593.365,"[4840, 17544, 25609, 23571, 5567, 3460]"
6,7,0.7067220000000001,1598.953,"[4840, 17544, 25609, 23571, 5567, 3460, 14866]"
7,8,0.7072018999999994,1620.332,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758]"
8,9,0.7076148999999994,1643.369,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907]"
9,10,0.7079689999999994,1657.848,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081]"
10,11,0.7083983999999992,1653.874,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723]"
11,12,0.7088646000000001,1650.61,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333]"
12,13,0.7093426999999997,1646.987,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515]"
13,14,0.7097534999999997,1674.093,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192]"
14,15,0.7102484999999996,1681.442,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342]"
15,16,0.7106337999999992,1698.6,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132]"
16,17,0.7109492,1720.674,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866]"
17,18,0.7111682999999998,1733.045,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120]"
18,19,0.7115214999999999,1736.351,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988]"
19,20,0.7117557999999997,1752.838,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356]"
20,21,0.7122121999999997,1756.647,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970]"
21,22,0.7123572999999999,1763.663,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653]"
22,23,0.7127778999999999,1760.466,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216]"
23,24,0.7132928999999999,1771.066,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117]"
24,25,0.7135007999999994,1787.979,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454]"
25,26,0.7137371999999997,1793.812,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777]"
26,27,0.7141997999999994,1815.708,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332]"
27,28,0.7144975999999996,1805.994,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529]"
28,29,0.7147949999999996,1818.336,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650]"
29,30,0.7150243999999999,1810.661,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566]"
30,31,0.7152407999999992,1823.623,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568]"
31,32,0.7158791999999998,1823.214,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509]"
32,33,0.7163466999999999,1838.45,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347]"
33,34,0.7169200999999994,1844.399,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566]"
34,35,0.7173334999999996,1834.813,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566, 25580]"
35,36,0.7179164999999994,1842.13,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566, 25580, 26536]"
36,37,0.7185782999999999,1841.663,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566, 25580, 26536, 7849]"
37,38,0.7187124999999996,1853.309,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566, 25580, 26536, 7849, 809]"
38,39,0.7192227999999998,1863.555,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566, 25580, 26536, 7849, 809, 1520]"
39,40,0.7198063999999995,1870.094,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566, 25580, 26536, 7849, 809, 1520, 2928]"
40,41,0.7201554999999997,1867.333,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566, 25580, 26536, 7849, 809, 1520, 2928, 19774]"
41,42,0.7204610999999996,1871.225,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566, 25580, 26536, 7849, 809, 1520, 2928, 19774, 9963]"
42,43,0.7215837,1878.855,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566, 25580, 26536, 7849, 809, 1520, 2928, 19774, 9963, 2289]"
43,44,0.7218811999999994,1879.136,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566, 25580, 26536, 7849, 809, 1520, 2928, 19774, 9963, 2289, 14896]"
44,45,0.7223398999999997,1885.511,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566, 25580, 26536, 7849, 809, 1520, 2928, 19774, 9963, 2289, 14896, 19780]"
45,46,0.7228387999999999,1889.859,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566, 25580, 26536, 7849, 809, 1520, 2928, 19774, 9963, 2289, 14896, 19780, 6904]"
46,47,0.7232654999999992,1898.7,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566, 25580, 26536, 7849, 809, 1520, 2928, 19774, 9963, 2289, 14896, 19780, 6904, 3858]"
47,48,0.7235113999999996,1913.929,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566, 25580, 26536, 7849, 809, 1520, 2928, 19774, 9963, 2289, 14896, 19780, 6904, 3858, 13363]"
48,49,0.7237235999999996,1907.546,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566, 25580, 26536, 7849, 809, 1520, 2928, 19774, 9963, 2289, 14896, 19780, 6904, 3858, 13363, 19202]"
49,50,0.7242748999999993,1925.559,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 1723, 3333, 8515, 5192, 6342, 7132, 1866, 5120, 988, 2356, 8970, 10653, 3216, 25117, 11454, 22777, 12332, 17529, 12650, 13566, 1568, 10509, 15347, 3566, 25580, 26536, 7849, 809, 1520, 2928, 19774, 9963, 2289, 14896, 19780, 6904, 3858, 13363, 19202, 15923]"
